event_id,level_id,timestamp,side,direction,level_price,entry_ref,created_time,level_age_seconds,touch_count_before_sweep,penetration_pips,sweep_depth_pips,session_bucket,hour,day_of_week,source_tf,window_id,outcome,time_to_outcome_seconds
W1_6,W1_3,2026-06-01 06:45:00,LOW,BUY,4516.54,4511.06,2026-06-01 00:00:00,24300.0,1,54.8,54.8,ASIA,6,Monday,PERIOD_H4,W1,PLUS_1R_FIRST,480.0
W1_10,W1_4,2026-06-01 09:45:00,LOW,BUY,4508.52,4504.91,2026-06-01 04:00:00,20700.0,1,36.1,36.1,LONDON,9,Monday,PERIOD_H4,W1,MINUS_1R_FIRST,60.0
W1_20,W1_8,2026-06-01 16:15:00,LOW,BUY,4489.0,4484.66,2026-06-01 12:00:00,15300.0,1,43.4,43.4,NY,16,Monday,PERIOD_H4,W1,MINUS_1R_FIRST,60.0
W1_29,W1_10,2026-06-02 07:15:00,HIGH,SELL,4496.96,4504.49,2026-06-02 00:00:00,26100.0,1,75.3,75.3,ASIA,7,Tuesday,PERIOD_H4,W1,MINUS_1R_FIRST,60.0
W1_39,W1_14,2026-06-02 16:30:00,LOW,BUY,4515.03,4511.17,2026-06-02 08:00:00,30600.0,1,38.6,38.6,NY,16,Tuesday,PERIOD_H4,W1,MINUS_1R_FIRST,60.0
W1_56,W1_22,2026-06-03 09:00:00,LOW,BUY,4463.15,4457.41,2026-06-03 04:00:00,18000.0,1,57.4,57.4,LONDON,9,Wednesday,PERIOD_H4,W1,PLUS_1R_FIRST,60.0
W1_66,W1_26,2026-06-03 16:45:00,LOW,BUY,4438.81,4427.09,2026-06-03 12:00:00,17100.0,1,117.2,117.2,NY,16,Wednesday,PERIOD_H4,W1,PLUS_1R_FIRST,60.0
W1_76,W1_29,2026-06-04 03:00:00,HIGH,SELL,4452.06,4457.19,2026-06-03 20:00:00,25200.0,1,51.3,51.3,ASIA,3,Thursday,PERIOD_H4,W1,MINUS_1R_FIRST,60.0
W1_82,W1_31,2026-06-04 06:00:00,HIGH,SELL,4465.26,4474.57,2026-06-04 00:00:00,21600.0,1,93.1,93.1,ASIA,6,Thursday,PERIOD_H4,W1,PLUS_1R_FIRST,60.0
W1_90,W1_33,2026-06-04 14:30:00,HIGH,SELL,4483.89,4489.74,2026-06-04 04:00:00,37800.0,1,58.5,58.5,NY,14,Thursday,PERIOD_H4,W1,PLUS_1R_FIRST,120.0
W1_102,W1_40,2026-06-05 03:30:00,LOW,BUY,4472.63,4457.76,2026-06-04 20:00:00,27000.0,1,148.7,148.7,ASIA,3,Friday,PERIOD_H4,W1,PLUS_1R_FIRST,60.0
W1_108,W1_42,2026-06-05 04:45:00,LOW,BUY,4450.47,4446.39,2026-06-05 00:00:00,17100.0,1,40.8,40.8,ASIA,4,Friday,PERIOD_H4,W1,PLUS_1R_FIRST,120.0
W1_120,W1_46,2026-06-05 16:00:00,LOW,BUY,4428.5,4406.72,2026-06-05 08:00:00,28800.0,1,217.8,217.8,NY,16,Friday,PERIOD_H4,W1,PLUS_1R_FIRST,60.0
