event_id,level_id,timestamp,side,direction,level_price,entry_ref,created_time,level_age_seconds,touch_count_before_sweep,penetration_pips,sweep_depth_pips,session_bucket,hour,day_of_week,source_tf,window_id,outcome,time_to_outcome_seconds
INDEP_2026-04-01_2026-06-01_4,INDEP_2026-04-01_2026-06-01_1,2026-04-01 02:45:00,HIGH,SELL,4686.93,4690.83,2026-03-31 20:00:00,24300.0,1,39.0,39.0,ASIA,2,Wednesday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,240.0
INDEP_2026-04-01_2026-06-01_14,INDEP_2026-04-01_2026-06-01_5,2026-04-01 10:00:00,HIGH,SELL,4724.07,4730.79,2026-04-01 04:00:00,21600.0,1,67.2,67.2,LONDON,10,Wednesday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_20,INDEP_2026-04-01_2026-06-01_7,2026-04-01 14:45:00,HIGH,SELL,4747.63,4760.52,2026-04-01 08:00:00,24300.0,1,128.9,128.9,NY,14,Wednesday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_26,INDEP_2026-04-01_2026-06-01_9,2026-04-01 18:30:00,HIGH,SELL,4762.85,4772.88,2026-04-01 12:00:00,23400.0,1,100.3,100.3,NY,18,Wednesday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,AMBIGUOUS_SAME_BAR,60.0
INDEP_2026-04-01_2026-06-01_41,INDEP_2026-04-01_2026-06-01_16,2026-04-02 04:30:00,LOW,BUY,4752.68,4696.17,2026-04-02 00:00:00,16200.0,1,565.1,565.1,ASIA,4,Thursday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,MINUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_47,INDEP_2026-04-01_2026-06-01_18,2026-04-02 08:45:00,LOW,BUY,4650.94,4634.61,2026-04-02 04:00:00,17100.0,1,163.3,163.3,LONDON,8,Thursday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,MINUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_60,INDEP_2026-04-01_2026-06-01_21,2026-04-02 17:00:00,HIGH,SELL,4634.89,4646.22,2026-04-02 12:00:00,18000.0,1,113.3,113.3,NY,17,Thursday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_57,INDEP_2026-04-01_2026-06-01_22,2026-04-02 16:15:00,LOW,BUY,4592.56,4587.43,2026-04-02 12:00:00,15300.0,1,51.3,51.3,NY,16,Thursday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_69,INDEP_2026-04-01_2026-06-01_26,2026-04-06 01:15:00,LOW,BUY,4645.65,4629.67,2026-04-02 20:00:00,278100.0,1,159.8,159.8,ASIA,1,Monday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,PLUS_1R_FIRST,60.0
INDEP_2026-04-01_2026-06-01_79,INDEP_2026-04-01_2026-06-01_29,2026-04-06 11:00:00,HIGH,SELL,4671.78,4684.28,2026-04-06 04:00:00,25200.0,1,125.0,125.0,LONDON,11,Monday,PERIOD_H4,INDEP_2026-04-01_2026-06-01,MINUS_1R_FIRST,60.0
