event_id,level_id,timestamp,side,direction,level_price,entry_ref,created_time,level_age_seconds,touch_count_before_sweep,penetration_pips,sweep_depth_pips,hour,day_of_week,source_tf,window_id,outcome,time_to_outcome_seconds
EXP3_2026-01-02_2026-03-20_4,EXP3_2026-01-02_2026-03-20_1,2026-01-02 08:00:00,HIGH,SELL,4353.14,4380.64,2025-12-31 16:00:00,144000.0,1,275.0,275.0,8,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_15,EXP3_2026-01-02_2026-03-20_6,2026-01-02 16:45:00,LOW,BUY,4361.88,4356.82,2026-01-02 12:00:00,17100.0,1,50.6,50.6,16,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_26,EXP3_2026-01-02_2026-03-20_9,2026-01-05 01:00:00,HIGH,SELL,4333.16,4350.7,2026-01-02 20:00:00,190800.0,1,175.4,175.4,1,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_36,EXP3_2026-01-02_2026-03-20_13,2026-01-05 08:15:00,HIGH,SELL,4414.24,4418.19,2026-01-05 04:00:00,15300.0,1,39.5,39.5,8,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,600.0
EXP3_2026-01-02_2026-03-20_44,EXP3_2026-01-02_2026-03-20_16,2026-01-05 17:15:00,HIGH,SELL,4439.81,4449.12,2026-01-05 12:00:00,18900.0,1,93.1,93.1,17,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,420.0
EXP3_2026-01-02_2026-03-20_54,EXP3_2026-01-02_2026-03-20_20,2026-01-06 05:45:00,HIGH,SELL,4459.95,4465.89,2026-01-06 00:00:00,20700.0,1,59.4,59.4,5,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,1620.0
EXP3_2026-01-02_2026-03-20_68,EXP3_2026-01-02_2026-03-20_26,2026-01-06 16:45:00,HIGH,SELL,4470.22,4479.41,2026-01-06 12:00:00,17100.0,1,91.9,91.9,16,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_74,EXP3_2026-01-02_2026-03-20_28,2026-01-06 23:45:00,HIGH,SELL,4491.41,4496.11,2026-01-06 16:00:00,27900.0,1,47.0,47.0,23,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,4740.0
EXP3_2026-01-02_2026-03-20_80,EXP3_2026-01-02_2026-03-20_31,2026-01-07 03:15:00,LOW,BUY,4477.13,4471.38,2026-01-06 20:00:00,26100.0,1,57.5,57.5,3,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_86,EXP3_2026-01-02_2026-03-20_33,2026-01-07 07:45:00,LOW,BUY,4460.98,4452.7,2026-01-07 00:00:00,27900.0,1,82.8,82.8,7,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_96,EXP3_2026-01-02_2026-03-20_37,2026-01-07 15:15:00,LOW,BUY,4441.3,4433.85,2026-01-07 08:00:00,26100.0,1,74.5,74.5,15,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_115,EXP3_2026-01-02_2026-03-20_45,2026-01-08 06:30:00,LOW,BUY,4441.65,4436.89,2026-01-08 00:00:00,23400.0,1,47.6,47.6,6,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,360.0
EXP3_2026-01-02_2026-03-20_128,EXP3_2026-01-02_2026-03-20_49,2026-01-08 17:15:00,HIGH,SELL,4435.86,4447.69,2026-01-08 12:00:00,18900.0,1,118.3,118.3,17,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_134,EXP3_2026-01-02_2026-03-20_51,2026-01-08 22:30:00,HIGH,SELL,4465.37,4469.8,2026-01-08 16:00:00,23400.0,1,44.3,44.3,22,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_153,EXP3_2026-01-02_2026-03-20_59,2026-01-09 15:45:00,HIGH,SELL,4477.38,4486.69,2026-01-09 08:00:00,27900.0,1,93.1,93.1,15,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,120.0
EXP3_2026-01-02_2026-03-20_159,EXP3_2026-01-02_2026-03-20_61,2026-01-09 17:15:00,HIGH,SELL,4491.67,4496.41,2026-01-09 12:00:00,18900.0,1,47.4,47.4,17,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_167,EXP3_2026-01-02_2026-03-20_65,2026-01-12 01:15:00,HIGH,SELL,4511.28,4529.82,2026-01-09 20:00:00,191700.0,1,185.4,185.4,1,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,240.0
EXP3_2026-01-02_2026-03-20_175,EXP3_2026-01-02_2026-03-20_67,2026-01-12 11:00:00,HIGH,SELL,4584.82,4596.62,2026-01-12 04:00:00,25200.0,1,118.0,118.0,11,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_181,EXP3_2026-01-02_2026-03-20_69,2026-01-12 15:15:00,HIGH,SELL,4599.21,4606.54,2026-01-12 08:00:00,26100.0,1,73.3,73.3,15,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_187,EXP3_2026-01-02_2026-03-20_71,2026-01-12 18:15:00,HIGH,SELL,4620.14,4628.96,2026-01-12 12:00:00,22500.0,1,88.2,88.2,18,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,480.0
EXP3_2026-01-02_2026-03-20_197,EXP3_2026-01-02_2026-03-20_76,2026-01-13 01:15:00,LOW,BUY,4589.19,4578.9,2026-01-12 20:00:00,18900.0,1,102.9,102.9,1,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_209,EXP3_2026-01-02_2026-03-20_80,2026-01-13 15:15:00,HIGH,SELL,4597.11,4602.58,2026-01-13 08:00:00,26100.0,1,54.7,54.7,15,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_215,EXP3_2026-01-02_2026-03-20_82,2026-01-13 16:45:00,HIGH,SELL,4620.72,4625.62,2026-01-13 12:00:00,17100.0,1,49.0,49.0,16,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_226,EXP3_2026-01-02_2026-03-20_86,2026-01-14 02:30:00,HIGH,SELL,4601.79,4609.56,2026-01-13 20:00:00,23400.0,1,77.7,77.7,2,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,300.0
EXP3_2026-01-02_2026-03-20_238,EXP3_2026-01-02_2026-03-20_92,2026-01-14 16:45:00,LOW,BUY,4624.27,4618.97,2026-01-14 12:00:00,17100.0,1,53.0,53.0,16,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_257,EXP3_2026-01-02_2026-03-20_98,2026-01-15 13:00:00,HIGH,SELL,4614.5,4619.77,2026-01-15 04:00:00,32400.0,1,52.7,52.7,13,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,2100.0
EXP3_2026-01-02_2026-03-20_282,EXP3_2026-01-02_2026-03-20_111,2026-01-16 15:30:00,LOW,BUY,4594.02,4587.51,2026-01-16 08:00:00,27000.0,1,65.1,65.1,15,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_288,EXP3_2026-01-02_2026-03-20_113,2026-01-16 17:30:00,LOW,BUY,4582.25,4565.08,2026-01-16 12:00:00,19800.0,1,171.7,171.7,17,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,AMBIGUOUS_SAME_BAR,60.0
EXP3_2026-01-02_2026-03-20_296,EXP3_2026-01-02_2026-03-20_116,2026-01-19 01:00:00,HIGH,SELL,4598.2,4628.59,2026-01-16 20:00:00,190800.0,1,303.9,303.9,1,Monday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_325,EXP3_2026-01-02_2026-03-20_127,2026-01-20 06:15:00,HIGH,SELL,4676.78,4680.29,2026-01-20 00:00:00,22500.0,1,35.1,35.1,6,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,180.0
EXP3_2026-01-02_2026-03-20_331,EXP3_2026-01-02_2026-03-20_129,2026-01-20 10:15:00,HIGH,SELL,4716.52,4724.33,2026-01-20 04:00:00,22500.0,1,78.1,78.1,10,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,240.0
EXP3_2026-01-02_2026-03-20_339,EXP3_2026-01-02_2026-03-20_131,2026-01-20 16:15:00,HIGH,SELL,4737.28,4740.8,2026-01-20 08:00:00,29700.0,1,35.2,35.2,16,Tuesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,120.0
EXP3_2026-01-02_2026-03-20_350,EXP3_2026-01-02_2026-03-20_136,2026-01-21 01:45:00,HIGH,SELL,4766.28,4773.77,2026-01-20 20:00:00,20700.0,1,74.9,74.9,1,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_356,EXP3_2026-01-02_2026-03-20_138,2026-01-21 06:30:00,HIGH,SELL,4844.17,4849.59,2026-01-21 00:00:00,23400.0,1,54.2,54.2,6,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_362,EXP3_2026-01-02_2026-03-20_140,2026-01-21 08:30:00,HIGH,SELL,4878.11,4883.66,2026-01-21 04:00:00,16200.0,1,55.5,55.5,8,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_370,EXP3_2026-01-02_2026-03-20_144,2026-01-21 16:15:00,LOW,BUY,4855.09,4844.97,2026-01-21 12:00:00,15300.0,1,101.2,101.2,16,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_376,EXP3_2026-01-02_2026-03-20_146,2026-01-21 21:45:00,LOW,BUY,4802.4,4766.19,2026-01-21 16:00:00,20700.0,1,362.1,362.1,21,Wednesday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,AMBIGUOUS_SAME_BAR,60.0
EXP3_2026-01-02_2026-03-20_394,EXP3_2026-01-02_2026-03-20_153,2026-01-22 16:45:00,HIGH,SELL,4836.12,4845.58,2026-01-22 12:00:00,17100.0,1,94.6,94.6,16,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_400,EXP3_2026-01-02_2026-03-20_155,2026-01-22 20:30:00,HIGH,SELL,4906.09,4910.1,2026-01-22 16:00:00,16200.0,1,40.1,40.1,20,Thursday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,PLUS_1R_FIRST,60.0
EXP3_2026-01-02_2026-03-20_406,EXP3_2026-01-02_2026-03-20_157,2026-01-23 02:00:00,HIGH,SELL,4940.51,4958.98,2026-01-22 20:00:00,21600.0,1,184.7,184.7,2,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,120.0
EXP3_2026-01-02_2026-03-20_416,EXP3_2026-01-02_2026-03-20_162,2026-01-23 10:30:00,LOW,BUY,4938.08,4913.74,2026-01-23 04:00:00,23400.0,1,243.4,243.4,10,Friday,PERIOD_H4,EXP3_2026-01-02_2026-03-20,MINUS_1R_FIRST,60.0
