episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
wA__SELL__seq15,wA,85,80,2025-05-02 16:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,UP,10.80857,130.1,0.12036744916302526,0.011733561691773746,PERIOD_M15,RANGING,UP,True,False,False,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq20,wA,98,94,2025-05-02 18:45:00,SELL,Asia-High,PERIOD_M15,WEAK_TREND,UP,11.055,252.3,0.2282225237449118,0.10621468926553672,PERIOD_M30,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq21,wA,105,99,2025-05-02 20:00:00,SELL,Asia-High,PERIOD_H4,WEAK_TREND,DOWN,29.21286,373.6,0.12788888181437902,0.21820113314447595,PERIOD_H1,STRONG_TREND,UP,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq24,wA,132,128,2025-05-05 06:30:00,SELL,Equal-High,PERIOD_M30,STRONG_TREND,DOWN,8.38857,116.1,0.13840261212578545,0.027725437415881564,PERIOD_M5,STRONG_TREND,DOWN,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__BUY__seq84,wA,189,188,2025-05-06 04:15:00,BUY,Equal-Low,PERIOD_M15,STRONG_TREND,UP,7.27143,333.9,0.4591944088026702,0.020912845715480737,PERIOD_M5,RANGING,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq59,wA,213,212,2025-05-06 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,84.97,499.5,0.058785453689537484,0.04814023230940121,PERIOD_M15,WEAK_TREND,UP,True,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq60,wA,218,217,2025-05-06 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,84.97,637.2,0.07499117335530188,0.06495575903849238,PERIOD_M5,WEAK_TREND,UP,True,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq61,wA,224,223,2025-05-06 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,84.97,642.9,0.07566199835235966,0.04261850668597852,PERIOD_M5,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__SELL__seq62,wA,228,226,2025-05-07 01:30:00,SELL,Daily-High,PERIOD_M30,STRONG_TREND,UP,11.40714,472.5,0.414214255282218,0.3151562649813866,PERIOD_M15,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
wA__BUY__seq93,wA,250,249,2025-05-07 00:00:00,BUY,Equal-Low,PERIOD_D1,STRONG_TREND,UP,91.30071,429.3,0.047020444857438684,0.01289610382911115,PERIOD_M5,RANGING,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
