episode_id,window_id,true_break_event_id,retest_event_id,sweep_event_id,timestamp,direction,side,retest_source_tf,retest_regime_at_event,retest_structure_trend_at_event,retest_atr_at_event,retest_dist_pips,retest_dist_per_atr,retest_trend_aligned,regime_changed_break_to_retest,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,sweep_penetration_per_atr,regime_changed_sweep_to_break,primary_outcome,economic_outcome,period
wA__SELL__seq72,wA,286,288,284,2025-05-08 07:00:00,SELL,Equal-High,PERIOD_M30,STRONG_TREND,DOWN,9.90643,115.0000000000091,0.11608621874884201,True,False,PERIOD_D1,STRONG_TREND,DOWN,88.72286,336.7,0.03794963327376958,PERIOD_M15,STRONG_TREND,DOWN,0.01099276654193686,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
wA__SELL__seq145,wA,522,523,521,2025-05-15 03:00:00,SELL,Asia-High,PERIOD_H1,STRONG_TREND,DOWN,13.54071,7349.000000000024,5.4273372666573785,True,True,PERIOD_M5,WEAK_TREND,UP,2.18429,710.7,3.2536888416831102,PERIOD_D1,WEAK_TREND,DOWN,0.09297874815469939,False,FAIL,MINUS_1R_FIRST,DISCOVERY
wA__SELL__seq150,wA,535,536,521,2025-05-15 09:00:00,SELL,Asia-High,PERIOD_H1,STRONG_TREND,DOWN,12.77214,9636.000000000013,7.544546176286834,True,False,PERIOD_M15,STRONG_TREND,UP,6.86214,1039.0,1.5141049293660578,PERIOD_D1,WEAK_TREND,DOWN,0.09297874815469939,True,HOLD,PLUS_1R_FIRST,DISCOVERY
wA__SELL__seq151,wA,537,538,521,2025-05-15 09:30:00,SELL,Asia-High,PERIOD_M15,STRONG_TREND,UP,7.505,9636.000000000013,12.839440373084628,False,False,PERIOD_M30,STRONG_TREND,DOWN,10.865,962.7,0.8860561435803038,PERIOD_D1,WEAK_TREND,DOWN,0.09297874815469939,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
wA__BUY__seq740,wA,1600,1601,1595,2025-06-13 04:30:00,BUY,Asia-Low,PERIOD_M15,VOLATILE,UP,8.09214,6748.000000000002,8.338956073424336,True,True,PERIOD_M30,WEAK_TREND,UP,7.57929,672.6,0.88741821463488,PERIOD_D1,RANGING,UP,0.050672375442256466,True,FAIL,MINUS_1R_FIRST,DISCOVERY
wA__BUY__seq745,wA,1613,1614,1595,2025-06-13 08:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,12.105,5861.999999999989,4.842627013630722,True,True,PERIOD_M5,WEAK_TREND,DOWN,3.35357,544.9,1.6248356229331726,PERIOD_D1,RANGING,UP,0.050672375442256466,True,HOLD,PLUS_1R_FIRST,DISCOVERY
wA__BUY__seq746,wA,1617,1618,1595,2025-06-13 09:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,12.14429,6040.999999999985,4.974354202674661,True,True,PERIOD_M5,RANGING,DOWN,3.65857,570.0,1.5579857703966304,PERIOD_D1,RANGING,UP,0.050672375442256466,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
wA__BUY__seq1101,wA,2411,2412,2400,2025-07-23 07:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,4.28786,3928.9999999999964,9.163079018438093,True,False,PERIOD_M30,WEAK_TREND,UP,5.34071,389.1,0.7285548176178824,PERIOD_D1,WEAK_TREND,UP,0.1110271261530798,False,FAIL,MINUS_1R_FIRST,DISCOVERY
wA__SELL__seq1014,wA,2515,2517,2513,2025-07-29 00:00:00,SELL,Equal-High,PERIOD_D1,WEAK_TREND,UP,43.5,388.99999999998727,0.08942528735631891,False,True,PERIOD_H1,RANGING,UP,8.79571,38.9,0.04422610568106498,PERIOD_M5,STRONG_TREND,UP,0.0687658470012801,True,HOLD,PLUS_1R_FIRST,DISCOVERY
wA__BUY__seq1385,wA,2973,2974,2962,2025-08-28 19:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,4.95714,2673.000000000002,5.392222128081922,True,False,PERIOD_M30,WEAK_TREND,UP,5.91643,263.8,0.4458769900091779,PERIOD_D1,WEAK_TREND,UP,0.03706298486532292,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq25,w0,113,114,108,2025-09-05 17:45:00,BUY,Asia-Low,PERIOD_M15,VOLATILE,UP,10.45357,3970.0000000000273,3.7977456505289844,True,False,PERIOD_M30,VOLATILE,UP,9.485,383.0,0.4037954665260939,PERIOD_D1,STRONG_TREND,UP,0.011619932675678412,True,HOLD,PLUS_1R_FIRST,DISCOVERY
