server,login,trade_mode,symbol,probe_from,probe_to_plus7d,ticks_found,first_tick,last_tick
XMGlobal-MT5 7,318337486,DEMO,GOLD,2005.01.01,2005.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2008.01.01,2008.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2010.01.01,2010.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2012.01.01,2012.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2014.01.01,2014.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2016.01.01,2016.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2018.01.01,2018.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2019.01.01,2019.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2020.01.01,2020.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2021.01.01,2021.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2022.01.01,2022.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2022.07.01,2022.07.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.01.01,2023.01.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.06.01,2023.06.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.08.01,2023.08.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.09.01,2023.09.08,0,-,-
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.09.08,2023.09.15,389012,2023.09.11 21:17:51,2023.09.14 23:58:53
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.09.10,2023.09.17,538186,2023.09.11 21:17:51,2023.09.15 23:57:58
XMGlobal-MT5 7,318337486,DEMO,GOLD,2023.09.11,2023.09.18,538186,2023.09.11 21:17:51,2023.09.15 23:57:58
