"strategy","trades","net_profit","profit_factor","win_rate","max_drawdown_pct","avg_win","avg_loss","largest_loss","history_quality"
"ALL_ON","186","-153.75","0.68","23.66","16.82","7.51","-3.41","-8.83","100% ticks reali"
"InpStrat_ADX_RSI","8","-57.80","0.26","37.50","6.78","6.60","-15.52","-20.03","100% ticks reali"
"InpStrat_AMD_Reversal","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_BB_SQUEEZE","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_BJORGUM","2","-3.02","0.65","50.00","0.85","5.50","-8.52","-8.52","100% ticks reali"
"InpStrat_BOLLINGER","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_BREAKOUT_ACC","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_EMA_PULLBACK","1","-0.01","0.00","0.00","0.00","0.00","-0.01","-0.01","100% ticks reali"
"InpStrat_FVG_CONT","1","-0.04","0.00","0.00","0.00","0.00","-0.04","-0.04","100% ticks reali"
"InpStrat_FVG_Mit","103","-4.46","0.99","33.98","9.79","8.47","-4.43","-7.89","100% ticks reali"
"InpStrat_ICHIMOKU","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_IFVG","42","-45.10","0.67","30.95","5.36","7.03","-4.71","-8.83","100% ticks reali"
"InpStrat_LIQ_SWEEP","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_LONDON_BO","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_MACD","11","62.73","7.88","90.91","0.91","7.18","-9.12","-9.12","100% ticks reali"
"InpStrat_MalaysianSNR","153","-138.03","0.71","26.14","19.30","8.42","-4.20","-9.67","100% ticks reali"
"InpStrat_OB_Mit","64","-83.28","0.58","21.88","8.69","8.30","-3.99","-8.24","100% ticks reali"
"InpStrat_ORDER_BLOCK","8","-22.77","0.00","0.00","2.28","0.00","-2.85","-9.04","100% ticks reali"
"InpStrat_OTE_Cont","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_RSI_DIV","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_SAR","1","-4.12","0.00","0.00","0.41","0.00","-4.12","-4.12","100% ticks reali"
"InpStrat_SH_BMS_RTO","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_SilverBullet","12","-5.74","0.87","25.00","2.91","13.31","-5.07","-6.65","100% ticks reali"
"InpStrat_SMS_BMS_RTO","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpStrat_TSI","15","-18.73","0.51","33.33","2.18","3.96","-3.85","-9.12","100% ticks reali"
"InpStrat_TurtleSoup","7","-11.92","0.64","28.57","2.49","10.70","-6.66","-8.96","100% ticks reali"
"InpUseStrat_AMD_Cont","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStrat_CISD","1","-3.86","0.00","0.00","0.39","0.00","-3.86","-3.86","100% ticks reali"
"InpUseStrat_DispRebal","6","-1.33","0.91","50.00","1.46","4.42","-4.86","-5.34","100% ticks reali"
"InpUseStrat_Elliott","3","-13.36","0.00","0.00","1.34","0.00","-4.45","-5.53","100% ticks reali"
"InpUseStrat_Judas","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStrat_LdnReversal","1","-7.76","0.00","0.00","0.78","0.00","-7.76","-7.76","100% ticks reali"
"InpUseStrat_LiqVoid","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStrat_NYReversal","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStrat_PO3","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStrat_RangeFade","1","-4.89","0.00","0.00","0.49","0.00","-4.89","-4.89","100% ticks reali"
"InpUseStrat_WeeklyExp","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"InpUseStructReact","1","-4.12","0.00","0.00","0.41","0.00","-4.12","-4.12","100% ticks reali"
