"strategy","trades","net_profit","profit_factor","win_rate","max_drawdown_pct","avg_win","avg_loss","largest_loss","history_quality"
"TURTLE_SOUP","8","14.78","1.92","50.00","1.61","7.72","-4.02","-8.94","100% ticks reali"
"JUDAS_SWING","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"AMD_REVERSAL","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"PO3","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"IFVG","14","-26.51","0.45","28.57","2.88","5.51","-4.86","-6.73","100% ticks reali"
"FVG_MIT","27","-45.95","0.46","22.22","4.59","6.45","-4.03","-7.66","100% ticks reali"
"OB_MIT","19","-31.00","0.48","21.05","3.14","7.14","-3.97","-7.16","100% ticks reali"
"MALAYSIAN_SNR","87","-84.61","0.68","32.18","9.54","6.48","-4.51","-7.46","100% ticks reali"
"SH_BMS_RTO","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"SMS_BMS_RTO","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"CISD","2","17.34","0.00","100.00","0.00","8.67","0.00","0.00","100% ticks reali"
"RANGE_FADE","0","0.00","0.00","","0.00","0.00","0.00","0.00","100% ticks reali"
"MACD","1","3.81","0.00","100.00","0.00","3.81","0.00","0.00","100% ticks reali"
