"atr_sl_mult","atr_tp_mult","min_entry_score","nxr_min_fvg_size_atr","nxr_displacement_atr","adxrsi_score_cap","ell_swing_wing","ell_retrace_min","ell_retrace_max","ell_min_score","trades","net_profit","profit_factor","expected_payoff","max_equity_dd_pct","recovery_factor","sharpe_ratio","win_rate_pct"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","7","28.79","138.095","4.113","2.60","1.088","4.461","57.14"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","4","20.92","2.762","5.230","1.52","1.327","2.721","50.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","16","33.64","1.781","2.103","2.56","1.278","12.482","56.25"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","39","52.52","1.460","1.347","5.67","0.879","13.407","46.15"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","19","11.67","1.202","0.614","6.12","0.181","3.543","57.89"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","5","2.13","1.179","0.426","2.57","0.082","0.122","60.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","5","2.13","1.179","0.426","2.57","0.082","0.122","60.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","139","-11.32","0.973","-0.081","9.30","-0.119","-1.068","34.53"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","19","-5.95","0.927","-0.313","5.56","-0.102","-2.907","26.32"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","425","-223.23","0.817","-0.525","23.82","-0.926","-5.000","31.76"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","398","-335.40","0.696","-0.843","37.87","-0.831","-5.000","29.40"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","69","-87.05","0.639","-1.262","10.79","-0.796","-5.000","27.54"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","5","-11.93","0.417","-2.386","4.73","-0.249","-0.532","20.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","2","-5.43","0.404","-2.715","1.19","-0.453","-2.751","50.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","12","-37.95","0.262","-3.163","4.18","-0.905","-5.000","16.67"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","1","-0.03","0.000","-0.030","0.63","-0.005","-0.005","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","4","-69.73","0.000","-17.433","6.97","-1.000","-5.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","4","-78.78","0.000","-19.695","7.88","-1.000","-4.293","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","1","-3.12","0.000","-3.120","0.72","-0.434","-0.471","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","2","-0.30","0.000","-0.150","0.95","-0.031","-0.058","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
"2.00","2.60","60.0","0.050","0.750","70.0","3","0.382","0.786","70.0","0","0.00","0.000","0.000","0.00","0.000","0.000","0.00"
