name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;461;197;197;1;0;1;0;0;100.00;0.442;99.00;0.442;0.000;97.0;0.0;96.4;94.6;62.0;57.0;900;0;0;0;0;0;0;0;0;8;2;183;0;0;0;10;42.73;0.51;NEEDS_REVIEW
BOLLINGER;1;461;13;13;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;70.2;71.6;57.1;0.0;0;0;0;0;0;0;0;0;0;1;3;7;0;0;0;10;2.82;0.00;BLOCKED_BY_GATE
MACD;1;461;197;197;7;0;0;7;0;0.00;-0.400;0.00;0.000;-0.400;0.0;95.1;93.4;92.2;60.5;56.1;1148;0;0;1;0;0;0;0;0;12;4;171;0;0;0;10;42.73;3.55;NEEDS_REVIEW
SAR;1;461;300;300;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;85.1;85.1;58.8;0.0;0;0;0;0;0;0;0;0;0;26;22;240;0;0;0;10;65.08;0.00;BLOCKED_BY_GATE
TSI;1;461;288;288;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;91.4;90.9;60.8;0.0;0;0;0;0;0;0;0;0;0;17;6;257;0;0;0;10;62.47;0.00;BLOCKED_BY_GATE
BJORGUM;1;461;49;49;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;72.9;74.2;59.8;0.0;0;0;0;0;0;0;0;0;0;2;11;34;0;0;0;10;10.63;0.00;BLOCKED_BY_GATE
LIQ_SWEEP;1;461;29;29;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;86.5;90.1;55.2;0.0;0;0;0;0;0;0;0;0;0;3;1;25;0;0;0;10;6.29;0.00;BLOCKED_BY_GATE
FVG_CONT;1;461;44;44;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;93.5;89.0;58.6;0.0;0;0;0;0;0;0;0;0;0;2;3;38;0;0;0;10;9.54;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;461;33;33;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;97.7;95.8;64.7;0.0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;10;7.16;0.00;BLOCKED_BY_GATE
LONDON_BO;1;461;19;19;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;97.4;95.4;57.3;0.0;0;0;0;0;0;0;0;0;0;2;0;17;0;0;0;10;4.12;0.00;BLOCKED_BY_GATE
EMA_PULLBACK;1;461;90;90;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;88.6;86.6;55.2;0.0;0;0;0;0;0;0;0;0;0;12;9;63;0;0;0;10;19.52;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;461;4;4;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;92.5;93.2;62.3;0.0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0.87;0.00;BLOCKED_BY_GATE
ICHIMOKU;1;461;16;16;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;90.0;88.4;56.5;0.0;0;0;0;0;0;0;0;0;0;2;1;13;0;0;0;10;3.47;0.00;BLOCKED_BY_GATE
RSI_DIV;1;461;24;24;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;72.3;73.4;62.5;0.0;0;0;0;0;0;0;0;0;0;0;3;18;0;0;0;10;5.21;0.00;BLOCKED_BY_GATE
ORDER_BLOCK;1;461;160;160;1;0;0;1;0;0.00;-0.099;0.00;0.000;-0.099;0.0;81.0;93.4;90.8;55.0;59.0;900;0;0;0;0;0;0;0;0;17;0;140;0;0;0;10;34.71;0.63;NEEDS_REVIEW
STRUCT_REACT;1;461;261;261;3;0;1;2;0;33.33;-0.237;0.43;0.527;-0.619;97.0;96.0;94.9;96.4;55.9;53.7;2044;0;0;0;0;0;0;0;0;24;0;233;0;0;0;10;56.62;1.15;NEEDS_REVIEW
