name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;1144;561;561;1;0;1;0;0;100.00;0.452;99.00;0.452;0.000;99.0;0.0;96.7;96.4;31.1;56.0;7001;0;0;0;0;0;0;0;0;292;2;266;0;0;0;8;49.04;0.18;NEEDS_REVIEW
BOLLINGER;1;1144;50;50;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;75.7;75.6;32.1;0.0;0;0;0;0;0;0;0;0;0;24;11;14;0;0;0;8;4.37;0.00;BLOCKED_BY_GATE
MACD;1;1144;490;490;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;93.8;94.1;32.4;0.0;0;0;0;0;0;0;0;0;0;242;4;238;0;0;0;8;42.83;0.00;BLOCKED_BY_GATE
SAR;1;1144;810;810;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;85.1;85.8;29.4;0.0;0;0;0;0;0;0;0;0;0;436;43;319;0;0;0;8;70.80;0.00;BLOCKED_BY_GATE
TSI;1;1144;764;764;2;0;0;2;0;0.00;-0.581;0.00;0.000;-0.581;0.0;76.0;92.2;92.7;29.4;56.0;1353;0;0;0;0;0;0;0;0;414;6;335;0;0;0;8;66.78;0.26;NEEDS_REVIEW
BJORGUM;1;1144;130;130;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;76.5;77.2;28.5;0.0;0;0;0;0;0;0;0;0;0;71;9;50;0;0;0;8;11.36;0.00;BLOCKED_BY_GATE
LIQ_SWEEP;1;1144;60;60;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;92.4;94.5;24.6;0.0;0;0;0;0;0;0;0;0;0;36;0;24;0;0;0;8;5.24;0.00;BLOCKED_BY_GATE
FVG_CONT;1;1144;89;89;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;93.6;92.0;29.9;0.0;0;0;0;0;0;0;0;0;0;46;1;42;0;0;0;8;7.78;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;1144;90;90;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;97.1;96.5;37.5;0.0;0;0;0;0;0;0;0;0;0;38;0;52;0;0;0;10;7.87;0.00;BLOCKED_BY_GATE
LONDON_BO;1;1144;61;61;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;100.0;99.6;21.0;0.0;0;0;0;0;0;0;0;0;0;41;0;20;0;0;0;8;5.33;0.00;BLOCKED_BY_GATE
EMA_PULLBACK;1;1144;188;188;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;89.2;88.5;23.6;0.0;0;0;0;0;0;0;0;0;0;116;5;62;0;0;0;8;16.43;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;1144;8;8;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;98.8;99.1;23.5;0.0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;8;0.70;0.00;BLOCKED_BY_GATE
ICHIMOKU;1;1144;25;25;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;90.0;90.7;32.2;0.0;0;0;0;0;0;0;0;0;0;12;2;10;0;0;0;8;2.19;0.00;BLOCKED_BY_GATE
RSI_DIV;1;1144;92;92;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;78.1;77.8;29.8;0.0;0;0;0;0;0;0;0;0;0;48;4;39;0;0;0;8;8.04;0.00;BLOCKED_BY_GATE
ORDER_BLOCK;1;1144;416;416;4;0;0;2;2;0.00;-0.646;0.00;0.000;-0.646;0.0;84.5;95.1;94.2;27.3;57.3;2403;0;0;0;0;0;0;0;0;232;0;179;0;0;0;8;36.36;0.96;NEEDS_REVIEW
STRUCT_REACT;1;1144;632;632;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;93.3;95.2;21.7;0.0;0;0;0;0;0;0;0;0;0;409;0;221;0;0;0;8;55.24;0.00;BLOCKED_BY_GATE
TURTLE_SOUP;1;1144;41;41;1;0;0;1;0;0.00;-0.883;0.00;0.000;-0.883;0.0;100.0;94.1;95.7;24.0;55.0;342;0;0;0;0;0;0;0;0;25;0;15;0;0;0;8;3.58;2.44;NEEDS_REVIEW
IFVG;1;1123;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
