name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;1067;935;935;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;935;0;0;0;10;87.63;0.00;BLOCKED_BY_GATE
BOLLINGER;1;1067;91;91;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;10;8.53;0.00;BLOCKED_BY_GATE
MACD;1;1067;516;516;0;0;16;18;3;47.06;0.023;1.16;0.362;-0.278;94.4;95.0;0.0;0.0;0.0;0.0;6084;0;0;0;0;0;0;0;0;0;0;12;0;0;1;10;48.36;0.00;BLOCKED_BY_GATE
SAR;1;1067;672;672;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;672;0;0;0;10;62.98;0.00;BLOCKED_BY_GATE
TSI;1;1067;935;935;0;0;4;2;7;66.67;0.060;2.30;0.158;-0.137;96.0;86.0;0.0;0.0;0.0;0.0;4358;0;0;0;0;0;0;0;0;0;0;12;0;0;1;10;87.63;0.00;BLOCKED_BY_GATE
BJORGUM;1;1067;27;27;0;0;0;1;3;0.00;-0.213;0.00;0.000;-0.213;0.0;78.0;0.0;0.0;0.0;0.0;3044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.53;0.00;NEEDS_REVIEW
LIQ_SWEEP;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_CONT;1;1067;76;76;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;10;7.12;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LONDON_BO;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
EMA_PULLBACK;1;1067;85;85;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;10;7.97;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ICHIMOKU;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
RSI_DIV;1;1067;106;106;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;10;9.93;0.00;BLOCKED_BY_GATE
ORDER_BLOCK;1;1067;305;305;0;0;1;1;2;50.00;0.001;1.04;0.052;-0.050;100.0;100.0;0.0;0.0;0.0;0.0;2893;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;28.58;0.00;BLOCKED_BY_GATE
STRUCT_REACT;1;1067;240;240;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;10;22.49;0.00;BLOCKED_BY_GATE
TURTLE_SOUP;1;1067;23;23;0;0;2;2;1;50.00;0.369;5.16;0.916;-0.178;91.0;77.0;0.0;0.0;0.0;0.0;7491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.16;0.00;NEEDS_REVIEW
IFVG;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_MIT;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
OB_MIT;1;1067;379;379;0;0;1;1;3;50.00;0.001;1.04;0.052;-0.050;100.0;100.0;0.0;0.0;0.0;0.0;2616;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;35.52;0.00;BLOCKED_BY_GATE
SH_BMS_RTO;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
SMS_BMS_RTO;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
SILVER_BULLET;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
AMD_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
OTE_CONT;1;1067;57;57;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;10;5.34;0.00;BLOCKED_BY_GATE
MALAYSIAN_SNR;1;1067;3;3;0;0;1;1;0;50.00;-0.001;0.96;0.057;-0.059;88.0;98.0;0.0;0.0;0.0;0.0;2557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.28;0.00;NEEDS_REVIEW
CISD;1;1067;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
AMD_CONT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
