name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;4748;2067;2067;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2067;0;0;0;10;43.53;0.00;BLOCKED_BY_GATE
BOLLINGER;1;4748;158;158;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;158;0;0;0;10;3.33;0.00;BLOCKED_BY_GATE
MACD;1;4748;2159;2159;0;0;62;71;21;46.62;0.035;1.23;0.394;-0.279;87.7;88.4;0.0;0.0;0.0;0.0;5507;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;45.47;0.00;BLOCKED_BY_GATE
SAR;1;4748;2933;2933;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2933;0;0;0;10;61.77;0.00;BLOCKED_BY_GATE
TSI;1;4748;1624;1624;0;0;5;6;13;45.45;-0.013;0.83;0.140;-0.140;96.0;84.3;0.0;0.0;0.0;0.0;4989;0;0;0;0;0;0;0;0;0;0;21;0;0;4;10;34.20;0.00;BLOCKED_BY_GATE
BJORGUM;1;4748;128;128;0;0;5;4;3;55.56;0.034;1.29;0.273;-0.265;82.0;78.0;0.0;0.0;0.0;0.0;5207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.70;0.00;NEEDS_REVIEW
LIQ_SWEEP;1;4748;234;234;0;0;0;0;3;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;4360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.93;0.00;NEEDS_REVIEW
FVG_CONT;1;4748;281;281;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;10;5.92;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;4748;250;250;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;10;5.27;0.00;BLOCKED_BY_GATE
LONDON_BO;1;4748;118;118;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;10;2.49;0.00;BLOCKED_BY_GATE
EMA_PULLBACK;1;4748;732;732;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;732;0;0;0;10;15.42;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;4748;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ICHIMOKU;1;4748;81;81;0;0;2;3;1;40.00;0.155;2.34;0.676;-0.193;90.0;85.0;0.0;0.0;0.0;0.0;2328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.71;0.00;NEEDS_REVIEW
