name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;5083;4361;4361;0;0;20;26;11;43.48;0.014;1.17;0.219;-0.144;76.5;76.2;0.0;0.0;0.0;0.0;12132;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;85.80;0.00;BLOCKED_BY_GATE
BOLLINGER;1;5083;156;156;0;0;1;0;1;100.00;0.116;99.00;0.116;0.000;62.0;0.0;0.0;0.0;0.0;0.0;3989;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;3.07;0.00;BLOCKED_BY_GATE
MACD;1;5083;2134;2134;0;0;72;48;24;60.00;0.062;1.35;0.399;-0.444;91.4;90.2;0.0;0.0;0.0;0.0;8693;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;41.98;0.00;BLOCKED_BY_GATE
SAR;1;5083;3163;3163;0;0;81;109;22;42.63;0.041;1.21;0.544;-0.334;79.9;79.6;0.0;0.0;0.0;0.0;13746;0;0;0;0;0;0;0;0;0;0;4;0;0;9;13;62.23;0.00;BLOCKED_BY_GATE
TSI;1;5083;1780;1780;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1780;0;0;0;10;35.02;0.00;BLOCKED_BY_GATE
BJORGUM;1;5083;133;133;0;0;6;4;0;60.00;0.046;1.31;0.327;-0.376;86.3;85.5;0.0;0.0;0.0;0.0;5699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.62;0.00;NEEDS_REVIEW
LIQ_SWEEP;1;5083;234;234;0;0;1;1;1;50.00;0.017;1.60;0.092;-0.057;72.0;72.0;0.0;0.0;0.0;0.0;16890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.60;0.00;NEEDS_REVIEW
FVG_CONT;1;5083;443;443;0;0;15;21;2;41.67;0.090;1.42;0.726;-0.365;97.3;92.9;0.0;0.0;0.0;0.0;11264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.72;0.00;NEEDS_REVIEW
BREAKOUT_ACC;1;5083;250;250;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;10;4.92;0.00;BLOCKED_BY_GATE
LONDON_BO;1;5083;118;118;0;0;2;1;3;66.67;0.132;6.30;0.236;-0.075;85.0;100.0;0.0;0.0;0.0;0.0;13789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.32;0.00;NEEDS_REVIEW
