name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;1621;780;780;0;0;21;42;19;33.33;-0.094;0.45;0.228;-0.256;81.5;79.1;0.0;0.0;0.0;0.0;11197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.12;0.00;NEEDS_REVIEW
BOLLINGER;1;1621;22;22;0;0;2;1;0;66.67;0.047;2.88;0.109;-0.076;67.0;62.0;0.0;0.0;0.0;0.0;9347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36;0.00;NEEDS_REVIEW
MACD;1;1621;742;742;0;0;52;42;13;55.32;0.023;1.11;0.423;-0.473;90.2;92.4;0.0;0.0;0.0;0.0;7046;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;45.77;0.00;BLOCKED_BY_GATE
SAR;1;1621;1169;1169;0;0;72;80;17;47.37;-0.035;0.88;0.512;-0.527;79.2;81.4;0.0;0.0;0.0;0.0;12745;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;72.12;0.00;BLOCKED_BY_GATE
TSI;1;1621;1355;1355;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1355;0;0;0;10;83.59;0.00;BLOCKED_BY_GATE
BJORGUM;1;1621;23;23;0;0;4;1;1;80.00;0.210;2.14;0.491;-0.916;93.0;88.0;0.0;0.0;0.0;0.0;7914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.42;0.00;NEEDS_REVIEW
LIQ_SWEEP;1;1621;4;4;0;0;1;0;0;100.00;0.053;99.00;0.053;0.000;72.0;0.0;0.0;0.0;0.0;0.0;10800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.00;NEEDS_REVIEW
FVG_CONT;1;1621;142;142;0;0;10;12;6;45.45;-0.009;0.97;0.625;-0.537;93.0;99.2;0.0;0.0;0.0;0.0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.76;0.00;NEEDS_REVIEW
BREAKOUT_ACC;1;1621;268;268;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;0;10;16.53;0.00;BLOCKED_BY_GATE
LONDON_BO;1;1621;7;7;0;0;0;1;0;0.00;-0.063;0.00;0.000;-0.063;0.0;80.0;0.0;0.0;0.0;0.0;14811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;0.00;NEEDS_REVIEW
EMA_PULLBACK;1;1621;69;69;0;0;1;7;1;12.50;-0.377;0.14;0.485;-0.500;94.0;81.1;0.0;0.0;0.0;0.0;5712;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;4.26;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ICHIMOKU;1;1621;29;29;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;10;1.79;0.00;BLOCKED_BY_GATE
RSI_DIV;1;1621;135;135;0;0;24;22;3;52.17;-0.044;0.86;0.500;-0.638;74.3;71.6;0.0;0.0;0.0;0.0;9639;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;8.33;0.00;BLOCKED_BY_GATE
ORDER_BLOCK;1;1621;130;130;0;0;3;5;0;37.50;-0.202;0.24;0.166;-0.422;100.0;100.0;0.0;0.0;0.0;0.0;9768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.02;0.00;NEEDS_REVIEW
STRUCT_REACT;1;1621;432;432;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;432;0;0;0;10;26.65;0.00;BLOCKED_BY_GATE
TURTLE_SOUP;1;1621;54;54;0;0;11;6;2;64.71;0.120;2.12;0.349;-0.302;90.5;91.3;0.0;0.0;0.0;0.0;9245;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;3.33;0.00;BLOCKED_BY_GATE
IFVG;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_MIT;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
OB_MIT;1;1621;220;220;0;0;5;10;1;33.33;-0.179;0.20;0.131;-0.334;92.0;92.0;0.0;0.0;0.0;0.0;11340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.57;0.00;NEEDS_REVIEW
SH_BMS_RTO;1;1621;8;8;0;0;3;0;0;100.00;0.392;99.00;0.392;0.000;87.3;0.0;0.0;0.0;0.0;0.0;12942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.49;0.00;NEEDS_REVIEW
SMS_BMS_RTO;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
SILVER_BULLET;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
AMD_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
OTE_CONT;1;1621;29;29;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;10;1.79;0.00;BLOCKED_BY_GATE
MALAYSIAN_SNR;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
CISD;1;1621;9;9;0;0;1;0;0;100.00;0.323;99.00;0.323;0.000;100.0;0.0;0.0;0.0;0.0;0.0;7666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.56;0.00;NEEDS_REVIEW
AMD_CONT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
JUDAS_SWING;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
LDN_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
NY_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
WEEKLY_EXP;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
PO3;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
LIQ_VOID;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
DISP_REBAL;1;1621;24;24;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;10;1.48;0.00;BLOCKED_BY_GATE
RANGE_FADE;1;1621;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
