name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;67;11;11;0;0;1;0;0;100.00;0.496;99.00;0.496;0.000;92.0;0.0;0.0;0.0;0.0;0.0;9906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.42;0.00;NEEDS_REVIEW
BOLLINGER;1;67;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
MACD;1;67;38;38;0;0;1;3;2;25.00;-0.490;0.13;0.283;-0.748;95.0;88.3;0.0;0.0;0.0;0.0;6283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.72;0.00;NEEDS_REVIEW
SAR;1;67;38;38;0;0;1;4;0;20.00;-0.419;0.19;0.493;-0.647;90.0;82.5;0.0;0.0;0.0;0.0;9240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.72;0.00;NEEDS_REVIEW
TSI;1;67;11;11;0;0;0;0;1;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;2966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.42;0.00;NEEDS_REVIEW
BJORGUM;1;67;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LIQ_SWEEP;1;67;2;2;0;0;1;0;0;100.00;0.226;99.00;0.226;0.000;82.0;0.0;0.0;0.0;0.0;0.0;10800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.99;0.00;NEEDS_REVIEW
FVG_CONT;1;67;16;16;0;0;0;1;0;0.00;-0.893;0.00;0.000;-0.893;0.0;100.0;0.0;0.0;0.0;0.0;822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.88;0.00;NEEDS_REVIEW
BREAKOUT_ACC;1;67;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LONDON_BO;1;67;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
