name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BOLLINGER;1;8781;380;380;380;0;136;126;118;51.91;0.033;1.34;0.250;-0.201;62.0;62.0;0.0;0.0;0.0;29.1;17523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.33;100.00;HEALTHY
MACD;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
SAR;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
TSI;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BJORGUM;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LIQ_SWEEP;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_CONT;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BREAKOUT_ACC;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LONDON_BO;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
EMA_PULLBACK;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BB_SQUEEZE;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ICHIMOKU;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
RSI_DIV;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ORDER_BLOCK;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
STRUCT_REACT;1;8781;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
TURTLE_SOUP;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
IFVG;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
FVG_MIT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
OB_MIT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SH_BMS_RTO;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SMS_BMS_RTO;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SILVER_BULLET;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
AMD_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
