name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BOLLINGER;1;18349;704;704;700;0;227;243;230;48.30;-0.021;0.84;0.233;-0.258;62.0;62.0;0.0;0.0;0.0;32.1;17107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.84;99.43;NEEDS_REVIEW
MACD;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
SAR;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
TSI;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BJORGUM;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LIQ_SWEEP;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_CONT;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BREAKOUT_ACC;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LONDON_BO;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
EMA_PULLBACK;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
BB_SQUEEZE;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ICHIMOKU;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
RSI_DIV;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ORDER_BLOCK;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
STRUCT_REACT;1;18349;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
TURTLE_SOUP;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
IFVG;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
FVG_MIT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
OB_MIT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SH_BMS_RTO;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SMS_BMS_RTO;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
SILVER_BULLET;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
AMD_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
OTE_CONT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
MALAYSIAN_SNR;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
CISD;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
AMD_CONT;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
JUDAS_SWING;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
LDN_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
NY_REVERSAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
WEEKLY_EXP;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
PO3;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
LIQ_VOID;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
DISP_REBAL;1;0;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NOT_CONNECTED
