episode_id,window_id,outcome,side,source_tf,direction,regime_at_event,structure_trend_at_event,consumer,penetration_pips,atr_at_event,penetration_per_atr,age_seconds,age_valid,timestamp
Asia-High_2026.01.02__ep1,w1,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M30,SELL,STRONG_TREND,UP,DETECTOR,89.1,9.39,0.09488817891373802,55800.0,True,2026-01-02 15:30:00
Daily-High_2025.12.31__ep5,w1,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H4,SELL,RANGING,DOWN,DETECTOR,502.3,48.44714,0.1036800108324248,244800.0,True,2026-01-02 20:00:00
Weekly-Low_2025.12.21__ep2,w1,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_M15,BUY,VOLATILE,UP,DETECTOR,81.3,13.40214,0.06066195398645291,1100700.0,True,2026-01-02 17:45:00
Asia-High_2026.01.05__ep1,w1,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,STRONG_TREND,UP,DETECTOR,516.8,88.02,0.058713928652578955,0.0,True,2026-01-05 00:00:00
Asia-High_2026.01.05__ep4,w1,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,RANGING,UP,DETECTOR,93.9,50.76929,0.01849543296744942,57600.0,True,2026-01-05 16:00:00
Daily-High_2026.01.02__ep2,w1,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,5.4,20.92143,0.0025810855185329114,273600.0,True,2026-01-05 04:00:00
Daily-High_2026.01.02__ep8,w1,INVALIDATED_NO_BREAK,Daily-High,PERIOD_M15,SELL,STRONG_TREND,DOWN,DETECTOR,4.5,7.61143,0.005912161052522324,287100.0,True,2026-01-05 07:45:00
Equal-High_2026.01.05 16:45__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,DOWN,DETECTOR,33.1,10.19,0.03248282630029441,,False,2026-01-05 17:00:00
Equal-Low_2026.01.05 21:10__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,RANGING,UP,DETECTOR,2.5,4.66786,0.005355773309396597,,False,2026-01-05 21:15:00
Equal-Low_2026.01.05 21:55__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,RANGING,DOWN,DETECTOR,0.5,4.04286,0.0012367482425807473,,False,2026-01-05 22:00:00
Daily-High_2026.01.05__ep7,w1,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,32.2,15.10286,0.02132046513044549,115200.0,True,2026-01-06 08:00:00
Equal-Low_2026.01.06 15:40__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,RANGING,UP,DETECTOR,23.1,4.295,0.05378346915017462,,False,2026-01-06 15:45:00
Equal-High_2026.01.06 19:55__ep1,w1,TRUE_BREAK_OBSERVED,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,14.8,3.71071,0.039884550396015864,,False,2026-01-06 20:00:00
Daily-High_2026.01.06__ep1,w1,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H4,SELL,STRONG_TREND,DOWN,DETECTOR,317.0,33.30929,0.09516864514374218,100800.0,True,2026-01-07 04:00:00
Asia-Low_2026.01.07__ep1,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,619.0,90.33214,0.06852489047641294,0.0,True,2026-01-07 00:00:00
Asia-Low_2026.01.07__ep3,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,37.0,16.56643,0.02233432308590324,54000.0,True,2026-01-07 15:00:00
Asia-Low_2026.01.07__ep8,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,37.6,18.23143,0.020623725072580704,61200.0,True,2026-01-07 17:00:00
Equal-Low_2026.01.07 12:15__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,4.0,6.58786,0.00607177444572289,,False,2026-01-07 12:30:00
Daily-Low_2026.01.06__ep6,w1,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H4,BUY,WEAK_TREND,UP,DETECTOR,239.6,32.63143,0.07342614160642055,158400.0,True,2026-01-07 20:00:00
Equal-High_2026.01.07 19:55__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,3.3,3.76786,0.008758287197507339,,False,2026-01-07 20:00:00
Equal-High_2026.01.07 20:25__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,9.0,3.87714,0.02321298689240007,,False,2026-01-07 20:30:00
Asia-Low_2026.01.08__ep2,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M30,BUY,STRONG_TREND,UP,DETECTOR,48.4,10.11571,0.047846369656702296,52200.0,True,2026-01-08 14:30:00
Asia-High_2026.01.08__ep1,w1,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,STRONG_TREND,UP,DETECTOR,140.6,91.27,0.015404842774186479,0.0,True,2026-01-08 00:00:00
Daily-Low_2026.01.07__ep5,w1,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,80.4,13.31429,0.06038624665678756,126000.0,True,2026-01-08 11:00:00
Daily-Low_2026.01.07__ep12,w1,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,2.5,15.13786,0.0016514883873942553,144000.0,True,2026-01-08 16:00:00
Equal-High_2026.01.08 15:25__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,7.3,5.30929,0.013749484394335211,,False,2026-01-08 15:30:00
