episode_id,timestamp,outcome,source_tf,direction,penetration_per_atr,age_seconds
Asia-Low_2025.09.01__ep1,2025-09-01 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.1217505960858809,0.0
Equal-Low_2025.09.01 12:10__ep1,2025-09-01 12:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.0025547460795292453,
Asia-Low_2025.09.02__ep1,2025-09-02 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.10729407678248025,0.0
Equal-High_2025.09.02 10:45__ep1,2025-09-02 11:00:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.055573636019328965,
Equal-High_2025.09.02 11:30__ep1,2025-09-02 11:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0007249187184886895,
Equal-High_2025.09.02 11:45__ep1,2025-09-02 12:00:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.03747169831236619,
Daily-High_2025.09.01__ep1,2025-09-02 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.06711572250599189,129600.0
Daily-High_2025.09.01__ep2,2025-09-02 15:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.0006819288845591816,140400.0
Daily-High_2025.09.01__ep4,2025-09-02 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.06870567375886526,144000.0
Daily-High_2025.09.01__ep6,2025-09-02 17:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.010963192346679754,147600.0
Daily-High_2025.09.02__ep5,2025-09-03 05:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.009941520467836258,104400.0
Daily-High_2025.09.02__ep6,2025-09-03 05:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.02941376469304523,107100.0
Daily-High_2025.09.02__ep8,2025-09-03 11:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.03036479156410882,128700.0
Asia-Low_2025.09.03__ep1,2025-09-03 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.1456137613615362,0.0
Asia-Low_2025.09.04__ep1,2025-09-04 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.08197114098605222,0.0
Asia-High_2025.09.04__ep1,2025-09-04 04:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.00909090909090909,14400.0
Asia-High_2025.09.04__ep2,2025-09-04 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.010953149677072244,0.0
Daily-Low_2025.09.03__ep3,2025-09-04 07:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.02540537971208329,111600.0
Daily-Low_2025.09.03__ep4,2025-09-04 08:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.029295292822404645,115200.0
Daily-Low_2025.09.03__ep8,2025-09-04 10:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.0851487626138151,122400.0
Daily-Low_2025.09.03__ep9,2025-09-04 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.06137073628014617,129600.0
Equal-Low_2025.09.04 17:00__ep1,2025-09-04 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.11436377885134552,
Equal-High_2025.09.04 18:00__ep1,2025-09-04 18:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0018237644321644304,
Asia-Low_2025.09.05__ep1,2025-09-05 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.011619932675678412,0.0
Asia-Low_2025.09.08__ep1,2025-09-08 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.10415275494292567,0.0
Asia-High_2025.09.08__ep2,2025-09-08 00:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.03196637921245968,0.0
Equal-High_2025.09.08 04:00__ep1,2025-09-08 04:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.12268380005549188,
Asia-Low_2025.09.09__ep1,2025-09-09 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.1205901840619759,0.0
Asia-Low_2025.09.09__ep2,2025-09-09 18:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.1093565778936087,66600.0
Daily-High_2025.09.08__ep2,2025-09-09 07:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.004993514106109906,111600.0
Daily-High_2025.09.08__ep3,2025-09-09 09:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.05858858939355066,119700.0
Daily-High_2025.09.08__ep4,2025-09-09 09:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.10544325420351766,120600.0
Daily-High_2025.09.08__ep6,2025-09-09 11:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,SELL,0.02319432733023009,126000.0
Daily-High_2025.09.08__ep11,2025-09-09 19:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.006117077923465775,154800.0
Daily-High_2025.09.08__ep17,2025-09-09 21:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,SELL,0.027759421431969755,162000.0
Equal-High_2025.09.09 13:40__ep1,2025-09-09 13:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.0387050117897503,
Equal-Low_2025.09.09 15:40__ep1,2025-09-09 15:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.011376959760325383,
Asia-High_2025.09.09__ep1,2025-09-09 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.09492174975382445,62100.0
Asia-High_2025.09.09__ep2,2025-09-09 17:30:00,TRUE_BREAK_OBSERVED,PERIOD_M30,SELL,0.06750383442064467,63000.0
Equal-Low_2025.09.09 17:10__ep1,2025-09-09 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.002608155121474825,
Equal-Low_2025.09.09 17:25__ep1,2025-09-09 17:30:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.02282608695652174,
Equal-Low_2025.09.09 17:30__ep1,2025-09-09 17:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.03921716268534031,
Asia-High_2025.09.10__ep1,2025-09-10 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.06963754450621064,0.0
Asia-High_2025.09.10__ep2,2025-09-10 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.022101449275362322,43200.0
Asia-High_2025.09.10__ep3,2025-09-10 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.042656334878152534,57600.0
Asia-High_2025.09.10__ep6,2025-09-10 18:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.00034477091696422313,64800.0
Daily-Low_2025.09.09__ep1,2025-09-10 01:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.10907723833376576,90900.0
Asia-Low_2025.09.11__ep1,2025-09-11 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.03697626153141234,0.0
Daily-Low_2025.09.10__ep1,2025-09-11 13:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.019417961495254512,133200.0
Daily-Low_2025.09.10__ep7,2025-09-11 17:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.09321478708469817,147600.0
