episode_id,true_break_event_id,sweep_event_id,timestamp,direction,side,structural_level_id,sweep_penetration_per_atr,plus1r_before_minus1r,retest_hold_or_fail
Equal-High_2025.05.02 15:00__ep1,85,80,2025-05-02 16:00:00,SELL,Equal-High,Equal-High_2025.05.02 15:00,0.011733561691773746,PLUS_1R_FIRST,N/A_NO_RETEST
Asia-High_2025.05.02__ep12,105,99,2025-05-02 20:00:00,SELL,Asia-High,Asia-High_2025.05.02,0.21820113314447595,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-High_2025.05.05 05:55__ep1,132,128,2025-05-05 06:30:00,SELL,Equal-High,Equal-High_2025.05.05 05:55,0.027725437415881564,PLUS_1R_FIRST,N/A_NO_RETEST
Equal-Low_2025.05.06 03:55__ep1,189,188,2025-05-06 04:15:00,BUY,Equal-Low,Equal-Low_2025.05.06 03:55,0.020912845715480737,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.06 14:00__ep1,213,212,2025-05-06 00:00:00,SELL,Equal-High,Equal-High_2025.05.06 14:00,0.04814023230940121,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.06 17:10__ep1,218,217,2025-05-06 00:00:00,SELL,Equal-High,Equal-High_2025.05.06 17:10,0.06495575903849238,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.06 19:10__ep1,224,223,2025-05-06 00:00:00,SELL,Equal-High,Equal-High_2025.05.06 19:10,0.04261850668597852,MINUS_1R_FIRST,N/A_NO_RETEST
Daily-High_2025.05.06__ep1,228,226,2025-05-07 01:30:00,SELL,Daily-High,Daily-High_2025.05.06,0.3151562649813866,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-Low_2025.05.07 10:55__ep1,250,249,2025-05-07 00:00:00,BUY,Equal-Low,Equal-Low_2025.05.07 10:55,0.01289610382911115,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-Low_2025.05.07 16:25__ep1,255,254,2025-05-07 00:00:00,BUY,Equal-Low,Equal-Low_2025.05.07 16:25,0.051505765052260385,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-Low_2025.05.07 18:10__ep1,260,259,2025-05-07 00:00:00,BUY,Equal-Low,Equal-Low_2025.05.07 18:10,0.05334851509981945,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-Low_2025.05.07 21:30__ep1,273,270,2025-05-07 00:00:00,BUY,Equal-Low,Equal-Low_2025.05.07 21:30,0.06574328801470825,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-High_2025.05.08 06:30__ep1,286,284,2025-05-08 00:00:00,SELL,Equal-High,Equal-High_2025.05.08 06:30,0.01099276654193686,AMBIGUOUS_SAME_BAR,AMBIGUOUS
Equal-High_2025.05.08 07:00__ep3,294,292,2025-05-08 09:00:00,SELL,Equal-High,Equal-High_2025.05.08 07:00,0.1105988749805211,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Weekly-High_2025.04.27__ep3,298,296,2025-05-08 09:45:00,SELL,Weekly-High,Weekly-High_2025.04.27,0.09946976675824319,PLUS_1R_FIRST,N/A_NO_RETEST
Weekly-High_2025.04.27__ep10,319,318,2025-05-08 20:00:00,SELL,Weekly-High,Weekly-High_2025.04.27,0.11748310406377609,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Weekly-High_2025.04.27__ep11,322,321,2025-05-09 01:15:00,SELL,Weekly-High,Weekly-High_2025.04.27,0.050962578412286394,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-High_2025.05.12__ep2,368,363,2025-05-12 02:00:00,SELL,Asia-High,Asia-High_2025.05.12,0.004090261088348641,PLUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.13 14:15__ep1,451,447,2025-05-13 15:00:00,SELL,Equal-High,Equal-High_2025.05.13 14:15,0.018575734917208656,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-High_2025.05.14 14:30__ep1,499,498,2025-05-14 15:00:00,SELL,Equal-High,Equal-High_2025.05.14 14:30,0.11109824781611718,PLUS_1R_FIRST,N/A_NO_RETEST
Asia-High_2025.05.15__ep1,522,521,2025-05-15 03:15:00,SELL,Asia-High,Asia-High_2025.05.15,0.09297874815469939,AMBIGUOUS_SAME_BAR,FAIL
Weekly-Low_2025.05.04__ep31,576,574,2025-05-16 01:30:00,BUY,Weekly-Low,Weekly-Low_2025.05.04,0.002820905178140162,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.19 15:40__ep1,673,672,2025-05-19 16:00:00,SELL,Equal-High,Equal-High_2025.05.19 15:40,0.02954898911353033,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-Low_2025.05.23 14:40__ep1,893,892,2025-05-23 15:00:00,BUY,Equal-Low,Equal-Low_2025.05.23 14:40,0.24246097893620247,PLUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.05.28 04:40__ep1,983,982,2025-05-28 05:00:00,SELL,Equal-High,Equal-High_2025.05.28 04:40,0.14659311292930213,MINUS_1R_FIRST,N/A_NO_RETEST
Equal-Low_2025.05.30 08:10__ep1,1061,1060,2025-05-30 09:00:00,BUY,Equal-Low,Equal-Low_2025.05.30 08:10,0.05317033927299965,MINUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.05.30__ep6,1074,1072,2025-05-30 15:30:00,BUY,Asia-Low,Asia-Low_2025.05.30,0.22648092966220917,PLUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.06.03__ep1,1159,1157,2025-06-03 03:15:00,BUY,Asia-Low,Asia-Low_2025.06.03,0.11136568770395056,MINUS_1R_FIRST,N/A_NO_RETEST
Daily-High_2025.06.02__ep3,1165,1162,2025-06-03 04:15:00,SELL,Daily-High,Daily-High_2025.06.02,0.06983861801699406,PLUS_1R_FIRST,N/A_NO_RETEST
Equal-Low_2025.06.03 09:10__ep1,1174,1173,2025-06-03 00:00:00,BUY,Equal-Low,Equal-Low_2025.06.03 09:10,0.09480803129367316,PLUS_1R_FIRST,N/A_NO_RETEST
Weekly-High_2025.05.25__ep16,1203,1201,2025-06-03 17:15:00,SELL,Weekly-High,Weekly-High_2025.05.25,0.10782587400638001,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Weekly-High_2025.05.25__ep28,1260,1259,2025-06-04 14:00:00,SELL,Weekly-High,Weekly-High_2025.05.25,0.057231134130308024,MINUS_1R_FIRST,N/A_NO_RETEST
Weekly-High_2025.05.25__ep45,1401,1398,2025-06-06 16:45:00,SELL,Weekly-High,Weekly-High_2025.05.25,0.036377128971473056,MINUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.06.12__ep6,1593,1592,2025-06-12 16:15:00,BUY,Asia-Low,Asia-Low_2025.06.12,0.12799877591975212,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-Low_2025.06.13__ep1,1597,1595,2025-06-13 03:30:00,BUY,Asia-Low,Asia-Low_2025.06.13,0.050672375442256466,AMBIGUOUS_SAME_BAR,FAIL
Daily-Low_2025.06.19__ep16,1873,1872,2025-06-20 16:45:00,BUY,Daily-Low,Daily-Low_2025.06.19,0.15050900548159749,PLUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.06.25__ep5,1999,1998,2025-06-25 18:00:00,BUY,Asia-Low,Asia-Low_2025.06.25,0.026467799062853705,MINUS_1R_FIRST,N/A_NO_RETEST
Daily-High_2025.06.25__ep4,2020,2018,2025-06-26 16:00:00,SELL,Daily-High,Daily-High_2025.06.25,0.1685330347144457,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-High_2025.06.30__ep1,2067,2066,2025-06-30 00:00:00,SELL,Asia-High,Asia-High_2025.06.30,0.09824421494104747,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Equal-Low_2025.07.01 12:00__ep1,2116,2115,2025-07-01 16:00:00,BUY,Equal-Low,Equal-Low_2025.07.01 12:00,0.040645855210549246,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-Low_2025.07.10__ep6,2270,2268,2025-07-11 11:00:00,BUY,Asia-Low,Asia-Low_2025.07.10,0.0029157536712983417,MINUS_1R_FIRST,N/A_NO_RETEST
Weekly-High_2025.07.06__ep7,2301,2298,2025-07-14 15:45:00,SELL,Weekly-High,Weekly-High_2025.07.06,0.020361007942611045,MINUS_1R_FIRST,N/A_NO_RETEST
Daily-Low_2025.07.15__ep2,2343,2340,2025-07-16 18:15:00,BUY,Daily-Low,Daily-Low_2025.07.15,0.22286071205496563,PLUS_1R_FIRST,N/A_NO_RETEST
Daily-Low_2025.07.16__ep4,2377,2375,2025-07-21 16:00:00,BUY,Daily-Low,Daily-Low_2025.07.16,0.10325437294401132,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-Low_2025.07.21__ep1,2380,2378,2025-07-21 17:30:00,BUY,Asia-Low,Asia-Low_2025.07.21,0.012051891241221621,PLUS_1R_FIRST,N/A_NO_RETEST
