window_id,structural_level_id,event_id,timestamp,source,source_tf,side,direction,level_price,price_at_event,penetration_pips,created_time,age_seconds,regime_at_event,structure_trend_at_event,atr_at_event,consumer,observed_by,observation_count,label_true_break_occurred,label_retest_occurred,label_reclaim_or_false_break,label_retest_hold_or_fail,label_plus1r_before_minus1r,label_continuation_1atr_before_failure
w1,Asia-High_2026.01.02,1,2026-01-02 15:30:00,SNXSSweepExt,PERIOD_M30,Asia-High,SELL,4383.22,4374.31,89.1,2026-01-02 00:00:00,55800.0,STRONG_TREND,UP,9.39,DETECTOR,",DETECTOR,SH_BMS_RTO,",7,False,False,NO_LIFECYCLE,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Daily-High_2025.12.31,4,2026-01-02 15:45:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4373.18,4372.43,7.5,2025-12-31 00:00:00,229500.0,WEAK_TREND,UP,8.48429,DETECTOR,",DETECTOR,",1,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2025.12.31,5,2026-01-02 16:00:00,SNXSSweepExt,PERIOD_H1,Daily-High,SELL,4373.18,4365.86,73.2,2025-12-31 00:00:00,230400.0,STRONG_TREND,UP,21.46,DETECTOR,",DETECTOR,SH_BMS_RTO,",25,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2025.12.31,6,2026-01-02 16:30:00,SNXSSweepExt,PERIOD_M30,Daily-High,SELL,4373.18,4368.24,49.4,2025-12-31 00:00:00,232200.0,STRONG_TREND,UP,10.28929,DETECTOR,",DETECTOR,",3,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,CONTINUATION_FIRST
w1,Daily-High_2025.12.31,7,2026-01-02 17:00:00,SNXSSweepExt,PERIOD_H1,Daily-High,SELL,4373.18,4353.28,199.0,2025-12-31 00:00:00,234000.0,WEAK_TREND,UP,22.21071,DETECTOR,",DETECTOR,",4,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Weekly-Low_2025.12.21,9,2026-01-02 17:15:00,SNXSSweepExt,PERIOD_M15,Weekly-Low,BUY,4337.87,4340.59,27.2,2025-12-21 00:00:00,1098900.0,VOLATILE,UP,12.24,DETECTOR,",DETECTOR,SH_BMS_RTO,",3,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Weekly-Low_2025.12.21,11,2026-01-02 17:45:00,SNXSSweepExt,PERIOD_M15,Weekly-Low,BUY,4337.87,4346.0,81.3,2025-12-21 00:00:00,1100700.0,VOLATILE,UP,13.40214,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2025.12.31,14,2026-01-02 20:00:00,SNXSSweepExt,PERIOD_H4,Daily-High,SELL,4373.18,4322.95,502.3,2025-12-31 00:00:00,244800.0,RANGING,DOWN,48.44714,DETECTOR,",DETECTOR,SH_BMS_RTO,",18,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Asia-Low_2026.01.02,15,2026-01-02 00:00:00,SNXSSweepExt,PERIOD_D1,Asia-Low,BUY,4292.33,4321.74,294.1,2026-01-02 00:00:00,0.0,STRONG_TREND,UP,87.25286,DETECTOR,",DETECTOR,SH_BMS_RTO,",4,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.02 20:00,16,2026-01-02 20:30:00,SNXSSweepExt,PERIOD_M30,Equal-Low,BUY,4314.98,4318.64,36.6,,-1.0,STRONG_TREND,UP,14.71857,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.02 20:15,17,2026-01-02 20:30:00,SNXSSweepExt,PERIOD_M15,Equal-Low,BUY,4314.98,4318.64,36.6,,-1.0,STRONG_TREND,DOWN,11.65429,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-Low_2026.01.02,18,2026-01-02 20:30:00,SNXSSweepExt,PERIOD_M30,Asia-Low,BUY,4311.72,4318.64,69.2,2026-01-02 00:00:00,73800.0,STRONG_TREND,UP,14.71857,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-Low_2026.01.02,19,2026-01-02 20:45:00,SNXSSweepExt,PERIOD_M15,Asia-Low,BUY,4311.72,4312.31,5.9,2026-01-02 00:00:00,74700.0,STRONG_TREND,DOWN,10.69571,DETECTOR,",DETECTOR,",2,False,False,NO_LIFECYCLE,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Asia-High_2026.01.05,23,2026-01-05 00:00:00,SNXSSweepExt,PERIOD_D1,Asia-High,SELL,4383.22,4331.54,516.8,2026-01-05 00:00:00,0.0,STRONG_TREND,UP,88.02,DETECTOR,",DETECTOR,SH_BMS_RTO,",10,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-Low_2026.01.05,24,2026-01-05 02:00:00,SNXSSweepExt,PERIOD_H1,Asia-Low,BUY,4371.98,4372.35,3.7,2026-01-05 00:00:00,7200.0,STRONG_TREND,UP,18.50857,DETECTOR,",DETECTOR,SH_BMS_RTO,",14,False,False,NO_LIFECYCLE,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,27,2026-01-05 03:30:00,SNXSSweepExt,PERIOD_M30,Daily-High,SELL,4402.23,4395.89,63.4,2026-01-02 00:00:00,271800.0,STRONG_TREND,UP,14.09214,DETECTOR,",DETECTOR,SH_BMS_RTO,",5,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,29,2026-01-05 04:00:00,SNXSSweepExt,PERIOD_H1,Daily-High,SELL,4402.23,4401.69,5.4,2026-01-02 00:00:00,273600.0,STRONG_TREND,UP,20.92143,DETECTOR,",DETECTOR,SH_BMS_RTO,",32,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Daily-High_2026.01.02,30,2026-01-05 04:15:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4402.23,4394.16,80.7,2026-01-02 00:00:00,274500.0,VOLATILE,UP,14.81286,DETECTOR,",DETECTOR,",1,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,31,2026-01-05 04:30:00,SNXSSweepExt,PERIOD_M30,Daily-High,SELL,4402.23,4401.95,2.8,2026-01-02 00:00:00,275400.0,STRONG_TREND,UP,14.83214,DETECTOR,",DETECTOR,",4,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,32,2026-01-05 04:45:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4402.23,4399.64,25.9,2026-01-02 00:00:00,276300.0,STRONG_TREND,UP,12.91929,DETECTOR,",DETECTOR,",2,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Equal-High_2026.01.05 04:55,34,2026-01-05 05:00:00,SNXSSweepExt,PERIOD_M5,Equal-High,SELL,4406.77,4405.38,13.9,,-1.0,STRONG_TREND,DOWN,6.175,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,38,2026-01-05 06:00:00,SNXSSweepExt,PERIOD_H1,Daily-High,SELL,4402.23,4399.7,25.3,2026-01-02 00:00:00,280800.0,STRONG_TREND,UP,21.91643,DETECTOR,",DETECTOR,SH_BMS_RTO,",10,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,39,2026-01-05 06:15:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4402.23,4399.87,23.6,2026-01-02 00:00:00,281700.0,STRONG_TREND,UP,11.495,DETECTOR,",DETECTOR,",1,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Equal-High_2026.01.05 06:40,41,2026-01-05 06:45:00,SNXSSweepExt,PERIOD_M5,Equal-High,SELL,4406.77,4405.56,12.1,,-1.0,WEAK_TREND,DOWN,3.51571,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Equal-High_2026.01.05 06:00,43,2026-01-05 07:00:00,SNXSSweepExt,PERIOD_H1,Equal-High,SELL,4404.34,4404.07,2.7,,-1.0,STRONG_TREND,UP,19.82,DETECTOR,",DETECTOR,SH_BMS_RTO,",7,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,48,2026-01-05 07:45:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4402.23,4401.78,4.5,2026-01-02 00:00:00,287100.0,STRONG_TREND,DOWN,7.61143,DETECTOR,",DETECTOR,SH_BMS_RTO,",3,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.05 13:10,50,2026-01-05 13:15:00,SNXSSweepExt,PERIOD_M5,Equal-Low,BUY,4430.66,4433.19,25.3,,-1.0,WEAK_TREND,UP,3.16,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-High_2026.01.05,52,2026-01-05 13:30:00,SNXSSweepExt,PERIOD_M30,Asia-High,SELL,4426.15,4417.07,90.8,2026-01-05 00:00:00,48600.0,STRONG_TREND,UP,10.13214,DETECTOR,",DETECTOR,SH_BMS_RTO,",7,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Asia-High_2026.01.05,55,2026-01-05 14:00:00,SNXSSweepExt,PERIOD_H1,Asia-High,SELL,4426.15,4419.21,69.4,2026-01-05 00:00:00,50400.0,STRONG_TREND,UP,17.93929,DETECTOR,",DETECTOR,SH_BMS_RTO,",8,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.02,56,2026-01-05 15:30:00,SNXSSweepExt,PERIOD_M30,Daily-High,SELL,4402.23,4399.44,27.9,2026-01-02 00:00:00,315000.0,STRONG_TREND,UP,10.77643,DETECTOR,",DETECTOR,SH_BMS_RTO,",7,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Asia-High_2026.01.05,60,2026-01-05 16:00:00,SNXSSweepExt,PERIOD_H4,Asia-High,SELL,4426.15,4416.76,93.9,2026-01-05 00:00:00,57600.0,RANGING,UP,50.76929,DETECTOR,",DETECTOR,SH_BMS_RTO,",30,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-High_2026.01.05,62,2026-01-05 16:30:00,SNXSSweepExt,PERIOD_M30,Asia-High,SELL,4426.15,4420.87,52.8,2026-01-05 00:00:00,59400.0,STRONG_TREND,UP,11.93714,DETECTOR,",DETECTOR,SH_BMS_RTO,",4,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Equal-High_2026.01.05 16:45,64,2026-01-05 17:00:00,SNXSSweepExt,PERIOD_M15,Equal-High,SELL,4439.81,4436.5,33.1,,-1.0,WEAK_TREND,DOWN,10.19,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,RECLAIM,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.05 21:10,77,2026-01-05 21:15:00,SNXSSweepExt,PERIOD_M5,Equal-Low,BUY,4439.58,4439.83,2.5,,-1.0,RANGING,UP,4.66786,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,NO_LIFECYCLE,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Equal-Low_2026.01.05 21:55,79,2026-01-05 22:00:00,SNXSSweepExt,PERIOD_M5,Equal-Low,BUY,4439.58,4439.63,0.5,,-1.0,RANGING,DOWN,4.04286,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,NO_LIFECYCLE,N/A_NO_RETEST,PLUS_1R_FIRST,CONTINUATION_FIRST
w1,Asia-Low_2026.01.06,81,2026-01-06 00:00:00,SNXSSweepExt,PERIOD_D1,Asia-Low,BUY,4370.1,4448.87,787.7,2026-01-06 00:00:00,0.0,STRONG_TREND,UP,90.00786,DETECTOR,",DETECTOR,SH_BMS_RTO,",94,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.05,82,2026-01-06 01:15:00,SNXSSweepExt,PERIOD_M15,Daily-High,SELL,4455.67,4451.46,42.1,2026-01-05 00:00:00,90900.0,RANGING,UP,6.22,DETECTOR,",DETECTOR,SH_BMS_RTO,",3,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Daily-High_2026.01.05,83,2026-01-06 01:30:00,SNXSSweepExt,PERIOD_M30,Daily-High,SELL,4455.67,4448.76,69.1,2026-01-05 00:00:00,91800.0,WEAK_TREND,UP,10.16429,DETECTOR,",DETECTOR,",2,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
w1,Daily-High_2026.01.05,84,2026-01-06 02:00:00,SNXSSweepExt,PERIOD_H1,Daily-High,SELL,4455.67,4440.36,153.1,2026-01-05 00:00:00,93600.0,WEAK_TREND,UP,16.14214,DETECTOR,",DETECTOR,SH_BMS_RTO,",5,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.06 01:55,85,2026-01-06 02:00:00,SNXSSweepExt,PERIOD_M5,Equal-Low,BUY,4437.85,4440.36,25.1,,-1.0,STRONG_TREND,UP,4.425,DETECTOR,",DETECTOR,",1,False,False,NO_LIFECYCLE,N/A_NO_RETEST,MINUS_1R_FIRST,FAILURE_FIRST
w1,Asia-High_2026.01.06,87,2026-01-06 02:00:00,SNXSSweepExt,PERIOD_M30,Asia-High,SELL,4441.62,4440.36,12.6,2026-01-06 00:00:00,7200.0,WEAK_TREND,UP,10.10857,DETECTOR,",DETECTOR,",1,False,False,RECLAIM,N/A_NO_RETEST,PLUS_1R_FIRST,FAILURE_FIRST
w1,Equal-Low_2026.01.06 02:10,89,2026-01-06 02:15:00,SNXSSweepExt,PERIOD_M5,Equal-Low,BUY,4437.85,4440.44,25.9,,-1.0,STRONG_TREND,UP,4.76429,DETECTOR,",DETECTOR,SH_BMS_RTO,",2,False,False,RECLAIM,N/A_NO_RETEST,AMBIGUOUS_SAME_BAR,FAILURE_FIRST
