hour,count,mean_pts,p10,p25,p50,p75,p90,p95,p99,overflow_ge200
0,176349,89.20035838025733,54,56,56,65,199,199,199,18030
1,1988827,72.7448762511772,50,53,57,65,124,199,199,105119
2,2489353,53.78693379364036,47,50,54,57,59,65,65,286
3,4071841,53.266632464283354,47,50,53,56,59,65,65,2389
4,4121134,53.09176697481809,47,50,54,57,59,59,65,126
5,3347631,52.65276907759547,46,49,54,56,58,59,65,195
6,2578420,52.48602244785566,46,49,53,56,58,59,65,1
7,2656234,51.64407616196465,45,48,52,55,57,58,65,524
8,3347017,51.97844169898151,46,48,52,56,57,59,65,524
9,3154248,51.560059323173064,45,48,52,55,57,58,65,56
10,3079743,51.299883139599636,45,48,51,55,56,57,65,5320
11,2997919,51.719771281345494,45,47,51,55,56,58,65,11701
12,2713206,51.07464084923887,45,48,51,55,56,57,65,479
13,2623603,51.20837375166899,45,48,51,55,56,58,65,2
14,3051384,50.93516253608199,45,48,51,55,56,57,65,2
15,4200750,51.13031053978456,45,48,51,55,56,58,65,1345
16,5277262,51.003093270715006,45,48,51,55,56,58,65,5
17,5415322,51.11261324811341,45,48,51,55,56,58,65,1622
18,4657310,50.70155776617833,45,47,51,54,56,57,65,6
19,3892126,50.562471769927285,45,47,51,54,55,57,65,80
20,3576025,50.55942533958795,45,47,51,54,55,56,65,3272
21,3229069,50.73141515402737,45,48,51,54,56,57,65,158
22,3158531,50.66745490229477,44,47,51,54,56,57,65,230
23,1383970,56.24663829418268,45,48,52,55,65,104,157,4767
