server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,GOLD,2023.09.08,2023.09.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2023.10.08,2023.10.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2023.11.07,2023.11.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2023.12.07,2023.12.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.01.06,2024.01.13,756050,2024.01.08 01:00:05,2024.01.12 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.02.05,2024.02.12,591336,2024.02.05 01:00:05,2024.02.09 23:57:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.03.06,2024.03.13,922480,2024.03.06 01:00:05,2024.03.13 00:44:28,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.04.05,2024.04.12,1236291,2024.04.05 01:00:05,2024.04.11 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.05.05,2024.05.12,806241,2024.05.06 01:00:05,2024.05.10 23:57:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.06.04,2024.06.11,1046579,2024.06.04 01:00:05,2024.06.10 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.07.04,2024.07.11,819992,2024.07.04 01:00:06,2024.07.10 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.08.03,2024.08.10,1599639,2024.08.05 01:00:05,2024.08.09 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.09.02,2024.09.09,1063317,2024.09.02 01:00:08,2024.09.06 23:57:54,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.10.02,2024.10.09,1274488,2024.10.02 01:00:05,2024.10.08 23:58:55,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.11.01,2024.11.08,1432075,2024.11.01 00:44:30,2024.11.07 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.12.01,2024.12.08,1232256,2024.12.02 01:00:05,2024.12.06 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2024.12.31,2025.01.07,773786,2024.12.31 01:00:05,2025.01.06 23:58:55,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.01.30,2025.02.06,1178801,2025.01.30 01:00:05,2025.02.05 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.03.01,2025.03.08,1139070,2025.03.03 01:00:05,2025.03.07 23:57:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.03.31,2025.04.07,1312944,2025.03.31 01:00:05,2025.04.04 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.04.30,2025.05.07,1157072,2025.04.30 01:00:12,2025.05.06 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.05.30,2025.06.06,1337865,2025.05.30 01:00:05,2025.06.05 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.06.29,2025.07.06,1006316,2025.06.30 01:00:05,2025.07.04 19:55:00,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.07.29,2025.08.05,1168182,2025.07.29 01:00:05,2025.08.04 23:58:55,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.08.28,2025.09.04,1161309,2025.08.28 01:00:05,2025.09.03 23:58:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.09.27,2025.10.04,1489420,2025.09.29 01:00:00,2025.10.03 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.10.27,2025.11.03,1853554,2025.10.27 00:44:29,2025.10.31 22:57:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.11.26,2025.12.03,1365330,2025.11.26 01:00:00,2025.12.02 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2025.12.26,2026.01.02,1414780,2025.12.26 08:00:00,2025.12.31 19:59:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.01.25,2026.02.01,2596682,2026.01.26 01:00:01,2026.01.30 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.02.24,2026.03.03,1741007,2026.02.24 01:00:00,2026.03.02 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.03.26,2026.04.02,2129622,2026.03.26 00:44:29,2026.04.01 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.04.25,2026.05.02,1732813,2026.04.27 01:00:01,2026.05.01 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.05.25,2026.06.01,1542840,2026.05.25 01:00:02,2026.05.29 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.06.24,2026.07.01,2293159,2026.06.24 01:00:02,2026.06.30 23:58:58,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.07.24,2026.07.31,2133154,2026.07.24 01:00:02,2026.07.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD,2026.08.23,2026.08.30,1743292,2026.08.24 01:00:02,2026.08.28 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2023.09.08,2023.09.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2023.10.08,2023.10.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2023.11.07,2023.11.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2023.12.07,2023.12.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.01.06,2024.01.13,511168,2024.01.08 01:00:10,2024.01.12 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.02.05,2024.02.12,360170,2024.02.05 01:00:31,2024.02.09 23:57:56,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.03.06,2024.03.13,606039,2024.03.06 01:00:05,2024.03.13 00:44:28,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.04.05,2024.04.12,759227,2024.04.05 01:00:05,2024.04.11 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.05.05,2024.05.12,547806,2024.05.06 01:01:25,2024.05.10 23:57:57,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.06.04,2024.06.11,615880,2024.06.04 01:00:05,2024.06.10 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2024.07.04,2024.07.11,533493,2024.07.04 01:00:21,2024.07.10 23:58:59,0
