timestamp,direction,range_hi,range_lo,c1,c2,cooldown_state,htf_state,signal_fire,event_type
2019.04.17,-1,1324.575,1282.5935,1274.2735,1276.6985,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.05.14,1,1295.8415,1266.3235,1297.1515,1301.8185,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.06.03,1,1303.385,1268.535,1325.255,1309.4785,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.06.04,1,1309.52,1269.5935,1325.5,1325.255,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.06.09,1,1329.1535,1269.5935,1334.7635,1341.405,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.06.23,1,1354.7085,1269.5935,1406.9415,1382.1565,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.06.24,1,1394.131,1272.5535,1425.3485,1406.9415,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.06.25,1,1410.34,1275.9035,1417.215,1425.3485,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.08.06,1,1448.0785,1391.2615,1476.905,1474.075,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.08.07,1,1474.815,1400.1785,1501.81,1476.905,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.08.11,1,1477.41,1400.1785,1500.885,1501.81,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.10.01,-1,1557.1115,1483.3035,1481.687,1473.7185,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.11.11,-1,1514.8915,1474.0635,1455.6815,1468.765,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.11.12,-1,1514.8915,1463.42,1458.4015,1455.6815,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.12.25,1,1486.8315,1452.6635,1499.52,1499.41,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2019.12.27,1,1500.585,1454.0185,1513.2865,1511.275,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.12.30,1,1512.69,1454.0185,1515.05,1513.2865,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2019.12.31,1,1514.23,1458.78,1521.955,1515.05,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.01.01,1,1516.1915,1458.78,1518.44,1521.955,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.01.03,1,1525.3785,1458.78,1552.16,1528.4065,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.01.06,1,1531.4565,1459.17,1563.8065,1552.16,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.01.07,1,1553.615,1460.0935,1595.14,1563.8065,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.02.20,1,1590.725,1546.38,1619.475,1600.94,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.02.21,1,1605.1565,1547.5535,1643.375,1619.475,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.02.23,1,1621.145,1547.5535,1665.615,1643.375,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.02.24,1,1647.3335,1547.5535,1654.015,1665.615,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.03.17,-1,1703.145,1565.9485,1537.87,1509.16,OK,BLOCKED,False,SIGNAL_BLOCKED_HTF
2020.04.12,1,1669.845,1451.32,1687.005,1683.995,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.04.16,1,1692.75,1455.29,1716.07,1717.735,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.06.22,1,1745.18,1677.7435,1755.5165,1749.335,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.06.23,1,1751.465,1677.7435,1768.8635,1755.5165,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.07.08,1,1789.2715,1704.1785,1809.64,1794.5835,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.07.09,1,1797.445,1704.1785,1800.1,1809.64,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.07.24,1,1815.034,1747.465,1901.655,1859.85,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.07.26,1,1865.9185,1747.465,1913.8185,1901.655,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.07.27,1,1906.67,1747.465,1965.2,1913.8185,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.07.28,1,1915.16,1759.25,1956.2065,1965.2,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.08.05,1,1990.625,1773.74,2036.6265,2031.13,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.08.06,1,2031.13,1790.705,2069.31,2036.6265,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.09.23,-1,1992.49,1907.94,1855.0215,1906.34,OK,BLOCKED,False,SIGNAL_BLOCKED_HTF
2020.09.24,-1,1992.49,1894.7135,1867.8935,1855.0215,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.11.06,1,1932.025,1860.01,1951.15,1946.26,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
2020.11.24,-1,1960.4215,1855.215,1809.2915,1835.68,OK,BLOCKED,False,SIGNAL_BLOCKED_HTF
2020.11.25,-1,1960.4215,1831.018,1808.385,1809.2915,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.11.30,-1,1960.4215,1800.275,1778.8935,1786.7865,BLOCKED,,False,SIGNAL_BLOCKED_COOLDOWN
2020.12.18,1,1870.5865,1764.5235,1881.555,1883.7735,OK,OK,True,SIGNAL_GENERATED_ELIGIBLE
