bar_time,c1,c2,range_hi,range_lo,accept_up,accept_dn,raw_dir,cooldown_ok,ema200_at_signal,price_proxy,htf_ok,final_dir,final_reason
2019.03.06,1287.42,1286.24,1346.61,1290.07,0,1,-1,1,1274.22,1287.42,0,0,BLOCKED_HTF
2019.04.18,1273.84,1276.65,1324.38,1280.83,0,1,-1,1,1276.21,1273.84,1,-1,SIGNAL_FIRE
2019.05.15,1296.78,1299.65,1295.68,1266.18,1,0,1,1,1285.03,1296.78,1,1,SIGNAL_FIRE
2019.06.04,1324.60,1305.35,1303.19,1268.52,1,0,1,1,1301.10,1324.60,1,1,SIGNAL_FIRE
2019.06.05,1325.10,1324.60,1306.87,1269.37,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.06.07,1335.36,1330.09,1328.95,1269.37,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.06.21,1388.18,1360.18,1358.07,1272.38,1,0,1,1,1315.62,1388.18,1,1,SIGNAL_FIRE
2019.06.24,1398.66,1388.18,1362.49,1272.73,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.06.25,1419.29,1398.66,1393.79,1274.92,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.06.26,1423.09,1419.29,1411.71,1274.92,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.08.07,1474.27,1463.62,1452.87,1385.66,1,0,1,1,1368.36,1474.27,1,1,SIGNAL_FIRE
2019.08.08,1500.94,1474.27,1469.65,1385.66,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.08.09,1500.91,1500.94,1474.75,1389.81,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2019.10.02,1478.91,1472.34,1556.92,1484.05,0,1,-1,1,1410.57,1478.91,0,0,BLOCKED_HTF
2019.11.11,1458.87,1468.38,1517.87,1473.89,0,1,-1,1,1424.17,1458.87,0,0,BLOCKED_HTF
2019.11.12,1455.75,1458.87,1517.87,1460.50,0,1,-1,1,1424.68,1455.75,0,0,BLOCKED_HTF
2019.11.13,1456.05,1455.75,1517.87,1456.10,0,1,-1,1,1425.22,1456.05,0,0,BLOCKED_HTF
2019.12.27,1510.89,1498.27,1486.64,1449.98,1,0,1,1,1458.57,1510.89,1,1,SIGNAL_FIRE
2019.12.30,1510.91,1510.89,1499.77,1452.45,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.01.03,1528.98,1521.85,1516.03,1453.84,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.01.06,1551.93,1528.98,1525.20,1458.42,1,0,1,1,1463.83,1551.93,1,1,SIGNAL_FIRE
2020.01.07,1565.55,1551.93,1531.28,1458.42,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.01.08,1573.91,1565.55,1553.41,1458.42,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.02.20,1611.31,1601.11,1593.53,1546.23,1,0,1,1,1501.51,1611.31,1,1,SIGNAL_FIRE
2020.02.21,1619.19,1611.31,1604.97,1547.33,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.02.24,1643.25,1619.19,1612.83,1547.33,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.02.25,1658.33,1643.25,1623.61,1547.33,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.03.17,1514.42,1529.20,1703.36,1560.70,0,1,-1,1,1529.31,1514.42,1,-1,SIGNAL_FIRE
2020.04.14,1711.46,1682.34,1671.81,1451.07,1,0,1,1,1561.31,1711.46,1,1,SIGNAL_FIRE
2020.04.15,1726.32,1711.46,1690.13,1451.07,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.06.24,1767.52,1754.38,1745.13,1670.52,1,0,1,1,1651.92,1767.52,1,1,SIGNAL_FIRE
2020.07.09,1808.72,1795.15,1788.94,1692.24,1,0,1,1,1686.75,1808.72,1,1,SIGNAL_FIRE
2020.07.10,1802.67,1808.72,1797.18,1704.09,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.07.23,1871.56,1841.59,1820.36,1747.27,1,0,1,1,1711.83,1871.56,1,1,SIGNAL_FIRE
2020.07.24,1887.12,1871.56,1843.41,1747.52,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.07.27,1901.06,1887.12,1871.97,1747.52,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.07.28,1941.71,1901.06,1898.30,1747.52,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.07.29,1959.43,1941.71,1906.50,1757.17,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.07.30,1970.36,1959.43,1945.49,1757.17,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.08.06,2037.67,2018.93,1989.33,1773.73,1,0,1,1,1733.86,2037.67,1,1,SIGNAL_FIRE
2020.08.07,2063.05,2037.67,2019.83,1789.57,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2020.09.25,1867.53,1863.04,1992.40,1882.70,0,1,-1,1,1784.86,1867.53,0,0,BLOCKED_HTF
2020.11.09,1951.11,1949.30,1933.14,1859.81,1,0,1,1,1803.25,1951.11,1,1,SIGNAL_FIRE
2020.11.25,1807.19,1837.45,1965.40,1850.40,0,1,-1,1,1812.38,1807.19,1,-1,SIGNAL_FIRE
2020.11.26,1807.49,1807.19,1965.40,1830.86,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2020.12.01,1776.62,1786.88,1965.40,1800.37,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2020.12.21,1881.11,1885.26,1879.64,1764.34,1,0,1,1,1820.37,1881.11,1,1,SIGNAL_FIRE
2021.01.06,1949.67,1942.52,1906.64,1818.87,1,0,1,1,1821.52,1949.67,1,1,SIGNAL_FIRE
2021.02.19,1775.69,1776.04,1875.58,1785.06,0,1,-1,1,1800.47,1775.69,1,-1,SIGNAL_FIRE
2021.03.02,1724.44,1734.10,1875.58,1760.52,0,1,-1,1,1795.50,1724.44,1,-1,SIGNAL_FIRE
2021.03.08,1700.63,1697.40,1855.35,1701.73,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2021.04.19,1776.81,1763.26,1758.65,1677.82,1,0,1,1,1799.53,1776.81,0,0,BLOCKED_HTF
2021.04.20,1771.31,1776.81,1769.56,1677.82,1,0,1,1,1800.49,1771.31,0,0,BLOCKED_HTF
2021.05.10,1830.89,1814.66,1798.91,1723.60,1,0,1,1,1812.07,1830.89,1,1,SIGNAL_FIRE
2021.05.11,1835.50,1830.89,1817.99,1723.60,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2021.05.19,1869.20,1866.72,1845.41,1755.99,1,0,1,1,1809.93,1869.20,1,1,SIGNAL_FIRE
2021.05.20,1869.11,1869.20,1868.36,1755.99,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2021.05.27,1896.19,1898.91,1889.96,1755.99,1,0,1,1,1807.93,1896.19,1,1,SIGNAL_FIRE
2021.06.18,1772.84,1811.68,1916.44,1844.70,0,1,-1,1,1807.83,1772.84,1,-1,SIGNAL_FIRE
2021.06.21,1763.73,1772.84,1916.44,1803.29,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2021.08.10,1729.41,1763.31,1834.08,1789.43,0,1,-1,1,1803.65,1729.41,1,-1,SIGNAL_FIRE
2021.08.11,1729.13,1729.41,1834.08,1758.48,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2021.09.07,1823.22,1827.39,1823.14,1680.44,1,0,1,1,1795.27,1823.22,1,1,SIGNAL_FIRE
2021.09.20,1754.07,1753.38,1833.93,1774.39,0,1,-1,1,1794.30,1754.07,1,-1,SIGNAL_FIRE
2021.09.30,1726.40,1733.85,1833.93,1737.52,0,1,-1,1,1794.14,1726.40,1,-1,SIGNAL_FIRE
2021.11.09,1824.14,1817.68,1813.83,1750.07,1,0,1,1,1796.81,1824.14,1,1,SIGNAL_FIRE
2021.11.10,1831.68,1824.14,1818.15,1750.07,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2021.11.11,1849.10,1831.68,1826.40,1750.66,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2021.11.12,1861.74,1849.10,1832.71,1757.78,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2022.01.21,1839.38,1840.40,1831.60,1782.38,1,0,1,1,1812.13,1839.38,1,1,SIGNAL_FIRE
2022.02.15,1871.19,1857.88,1853.73,1780.15,1,0,1,1,1834.61,1871.19,1,1,SIGNAL_FIRE
2022.02.21,1896.96,1898.24,1879.40,1780.15,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2022.03.09,2049.68,1997.43,1974.26,1806.30,1,0,1,1,1850.65,2049.68,1,1,SIGNAL_FIRE
2022.05.04,1868.02,1862.77,1998.32,1872.01,0,1,-1,1,1855.41,1868.02,0,0,BLOCKED_HTF
2022.05.16,1811.31,1821.83,1998.32,1831.97,0,1,-1,1,1854.01,1811.31,1,-1,SIGNAL_FIRE
2022.07.07,1738.76,1764.43,1878.74,1784.40,0,1,-1,1,1825.42,1738.76,1,-1,SIGNAL_FIRE
2022.07.08,1739.91,1738.76,1878.74,1763.92,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2022.09.02,1697.46,1710.87,1807.78,1720.22,0,1,-1,1,1784.01,1697.46,1,-1,SIGNAL_FIRE
2022.09.19,1674.99,1664.52,1772.31,1688.65,0,1,-1,1,1770.20,1674.99,1,-1,SIGNAL_FIRE
2022.09.27,1622.34,1643.63,1758.77,1653.65,0,1,-1,1,1763.08,1622.34,1,-1,SIGNAL_FIRE
2022.09.28,1629.09,1622.34,1745.40,1639.63,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2022.11.10,1706.79,1712.30,1683.82,1616.55,1,0,1,1,1762.32,1706.79,0,0,BLOCKED_HTF
2022.11.14,1770.86,1755.37,1722.24,1616.55,1,0,1,1,1763.11,1770.86,1,1,SIGNAL_FIRE
2022.11.15,1771.03,1770.86,1757.08,1616.55,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2022.12.05,1797.70,1802.72,1786.34,1616.55,1,0,1,1,1773.76,1797.70,1,1,SIGNAL_FIRE
2023.01.05,1854.50,1839.32,1833.20,1765.71,1,0,1,1,1799.25,1854.50,1,1,SIGNAL_FIRE
2023.01.10,1871.56,1865.75,1865.01,1768.58,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.01.11,1876.78,1871.56,1869.75,1773.57,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.01.16,1920.12,1896.66,1886.47,1773.57,1,0,1,1,1802.17,1920.12,1,1,SIGNAL_FIRE
2023.01.17,1915.41,1920.12,1901.48,1773.57,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.02.17,1836.28,1835.74,1959.67,1843.13,0,1,-1,1,1820.85,1836.28,0,0,BLOCKED_HTF
2023.02.28,1817.09,1810.59,1959.67,1817.28,0,1,-1,1,1832.14,1817.09,1,-1,SIGNAL_FIRE
2023.03.15,1903.76,1913.29,1870.52,1804.60,1,0,1,1,1850.01,1903.76,1,1,SIGNAL_FIRE
2023.03.17,1919.25,1918.02,1914.46,1804.60,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.03.21,1978.54,1984.84,1937.22,1804.60,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.04.06,2020.62,2020.45,2009.65,1809.26,1,0,1,1,1873.96,2020.62,1,1,SIGNAL_FIRE
2023.05.29,1946.58,1940.60,2079.08,1951.82,0,1,-1,1,1895.58,1946.58,0,0,BLOCKED_HTF
2023.06.30,1908.06,1907.27,1983.31,1909.93,0,1,-1,1,1907.03,1908.06,0,0,BLOCKED_HTF
2023.07.20,1976.74,1978.67,1963.70,1892.83,1,0,1,1,1906.87,1976.74,1,1,SIGNAL_FIRE
2023.08.11,1912.20,1914.53,1987.32,1922.66,0,1,-1,1,1909.59,1912.20,0,0,BLOCKED_HTF
2023.08.14,1913.63,1912.20,1987.32,1913.89,0,1,-1,1,1909.80,1913.63,0,0,BLOCKED_HTF
2023.08.16,1901.73,1907.26,1987.32,1910.63,0,1,-1,1,1910.10,1901.73,1,-1,SIGNAL_FIRE
2023.08.17,1891.72,1901.73,1987.32,1902.57,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.08.18,1889.17,1891.72,1987.32,1896.22,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.08.21,1889.40,1889.17,1987.32,1891.65,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.09.28,1874.85,1900.44,1952.79,1900.84,0,1,-1,1,1913.31,1874.85,1,-1,SIGNAL_FIRE
2023.09.29,1864.71,1874.85,1952.79,1899.00,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.10.02,1848.59,1864.71,1952.79,1872.40,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.10.03,1827.66,1848.59,1952.79,1857.53,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.10.04,1822.81,1827.66,1947.31,1846.18,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.10.05,1820.94,1822.81,1947.31,1827.06,0,1,-1,0,,,,0,BLOCKED_COOLDOWN
2023.10.20,1974.20,1947.43,1947.31,1810.31,1,0,1,1,1922.51,1974.20,1,1,SIGNAL_FIRE
2023.10.23,1980.63,1974.20,1962.49,1810.31,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2023.11.29,2041.07,2014.05,2007.84,1931.48,1,0,1,1,1950.56,2041.07,1,1,SIGNAL_FIRE
2023.11.30,2044.07,2041.07,2017.91,1931.48,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.02.15,1992.04,1992.85,2065.28,2001.70,0,1,-1,1,2001.55,1992.04,1,-1,SIGNAL_FIRE
2024.03.05,2114.20,2082.85,2057.54,1984.08,1,0,1,1,2035.64,2114.20,1,1,SIGNAL_FIRE
2024.03.06,2127.71,2114.20,2088.16,1984.08,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.03.07,2148.01,2127.71,2119.78,1984.08,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.03.08,2159.78,2148.01,2141.62,1984.08,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.03.11,2178.45,2159.78,2152.08,1984.08,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.03.12,2182.65,2178.45,2164.63,1984.08,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.04.02,2251.17,2232.67,2222.61,2027.95,1,0,1,1,2087.24,2251.17,1,1,SIGNAL_FIRE
2024.04.03,2280.30,2251.17,2236.08,2038.93,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.04.04,2299.52,2280.30,2265.53,2079.34,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.04.05,2290.73,2299.52,2280.95,2110.33,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.04.09,2338.70,2329.23,2305.44,2144.09,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.04.10,2352.06,2338.70,2330.31,2145.99,1,0,1,1,2103.16,2352.06,1,1,SIGNAL_FIRE
2024.06.11,2310.76,2293.64,2449.93,2314.63,0,1,-1,1,2193.24,2310.76,0,0,BLOCKED_HTF
2024.07.15,2411.22,2415.20,2392.83,2293.48,1,0,1,1,2244.32,2411.22,1,1,SIGNAL_FIRE
2024.07.18,2458.46,2468.57,2439.56,2293.48,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.08.20,2504.05,2507.43,2479.65,2352.98,1,0,1,1,2313.41,2504.05,1,1,SIGNAL_FIRE
2024.08.22,2512.22,2513.86,2509.98,2352.98,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.09.16,2578.91,2558.52,2531.61,2432.03,1,0,1,1,2374.32,2578.91,1,1,SIGNAL_FIRE
2024.09.17,2582.24,2578.91,2559.95,2450.63,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.09.24,2628.26,2622.04,2600.01,2471.76,1,0,1,1,2396.24,2628.26,1,1,SIGNAL_FIRE
2024.09.25,2656.98,2628.26,2625.60,2471.76,1,0,1,0,,,,0,BLOCKED_COOLDOWN
2024.09.26,2656.84,2656.98,2634.75,2471.76,1,0,1,0,,,,0,BLOCKED_COOLDOWN
