bar_time,raw_dir,c1,c2,range_hi,range_lo,cooldown_state,htf_state,event
2019-04-17 03:00,-1,1274.2735,1276.6985,1324.575,1282.5935,OK,OK,SIGNAL_FIRE
2019-05-14 00:00,1,1297.1515,1301.8185,1295.8415,1266.3235,OK,OK,SIGNAL_FIRE
2019-06-03 00:00,1,1325.255,1309.4785,1303.385,1268.535,OK,OK,SIGNAL_FIRE
2019-06-04 00:00,1,1325.5,1325.255,1309.52,1269.5935,BLOCKED,,BLOCKED_COOLDOWN
2019-06-09 22:00,1,1334.7635,1341.405,1329.1535,1269.5935,BLOCKED,,BLOCKED_COOLDOWN
2019-06-23 22:00,1,1406.9415,1382.1565,1354.7085,1269.5935,OK,OK,SIGNAL_FIRE
2019-06-24 00:00,1,1425.3485,1406.9415,1394.131,1272.5535,BLOCKED,,BLOCKED_COOLDOWN
2019-06-25 03:00,1,1417.215,1425.3485,1410.34,1275.9035,BLOCKED,,BLOCKED_COOLDOWN
2019-08-06 00:00,1,1476.905,1474.075,1448.0785,1391.2615,OK,OK,SIGNAL_FIRE
2019-08-07 12:00,1,1501.81,1476.905,1474.815,1400.1785,BLOCKED,,BLOCKED_COOLDOWN
2019-08-11 22:00,1,1500.885,1501.81,1477.41,1400.1785,BLOCKED,,BLOCKED_COOLDOWN
2019-10-01 02:00,-1,1481.687,1473.7185,1557.1115,1483.3035,OK,OK,SIGNAL_FIRE
2019-11-11 01:00,-1,1455.6815,1468.765,1514.8915,1474.0635,OK,OK,SIGNAL_FIRE
2019-11-12 02:00,-1,1458.4015,1455.6815,1514.8915,1463.42,BLOCKED,,BLOCKED_COOLDOWN
2019-12-25 23:00,1,1499.52,1499.41,1486.8315,1452.6635,OK,OK,SIGNAL_FIRE
2019-12-27 18:00,1,1513.2865,1511.275,1500.585,1454.0185,BLOCKED,,BLOCKED_COOLDOWN
2019-12-30 00:00,1,1515.05,1513.2865,1512.69,1454.0185,BLOCKED,,BLOCKED_COOLDOWN
2019-12-31 00:00,1,1521.955,1515.05,1514.23,1458.78,BLOCKED,,BLOCKED_COOLDOWN
2020-01-01 23:00,1,1518.44,1521.955,1516.1915,1458.78,BLOCKED,,BLOCKED_COOLDOWN
2020-01-03 00:00,1,1552.16,1528.4065,1525.3785,1458.78,BLOCKED,,BLOCKED_COOLDOWN
2020-01-06 00:00,1,1563.8065,1552.16,1531.4565,1459.17,OK,OK,SIGNAL_FIRE
2020-01-07 00:00,1,1595.14,1563.8065,1553.615,1460.0935,BLOCKED,,BLOCKED_COOLDOWN
2020-02-20 13:00,1,1619.475,1600.94,1590.725,1546.38,OK,OK,SIGNAL_FIRE
2020-02-21 16:00,1,1643.375,1619.475,1605.1565,1547.5535,BLOCKED,,BLOCKED_COOLDOWN
2020-02-23 23:00,1,1665.615,1643.375,1621.145,1547.5535,BLOCKED,,BLOCKED_COOLDOWN
2020-02-24 00:00,1,1654.015,1665.615,1647.3335,1547.5535,BLOCKED,,BLOCKED_COOLDOWN
2020-03-17 01:00,-1,1537.87,1509.16,1703.145,1565.9485,OK,BLOCKED,BLOCKED_HTF
2020-04-12 22:00,1,1687.005,1683.995,1669.845,1451.32,OK,OK,SIGNAL_FIRE
2020-04-16 13:00,1,1716.07,1717.735,1692.75,1455.29,BLOCKED,,BLOCKED_COOLDOWN
2020-06-22 00:00,1,1755.5165,1749.335,1745.18,1677.7435,OK,OK,SIGNAL_FIRE
2020-06-23 00:00,1,1768.8635,1755.5165,1751.465,1677.7435,BLOCKED,,BLOCKED_COOLDOWN
2020-07-08 19:00,1,1809.64,1794.5835,1789.2715,1704.1785,OK,OK,SIGNAL_FIRE
2020-07-09 15:00,1,1800.1,1809.64,1797.445,1704.1785,BLOCKED,,BLOCKED_COOLDOWN
2020-07-24 00:00,1,1901.655,1859.85,1815.034,1747.465,OK,OK,SIGNAL_FIRE
2020-07-26 22:00,1,1913.8185,1901.655,1865.9185,1747.465,BLOCKED,,BLOCKED_COOLDOWN
2020-07-27 00:00,1,1965.2,1913.8185,1906.67,1747.465,BLOCKED,,BLOCKED_COOLDOWN
2020-07-28 00:00,1,1956.2065,1965.2,1915.16,1759.25,BLOCKED,,BLOCKED_COOLDOWN
2020-08-05 00:00,1,2036.6265,2031.13,1990.625,1773.74,OK,OK,SIGNAL_FIRE
2020-08-06 00:00,1,2069.31,2036.6265,2031.13,1790.705,BLOCKED,,BLOCKED_COOLDOWN
2020-09-23 00:00,-1,1855.0215,1906.34,1992.49,1907.94,OK,BLOCKED,BLOCKED_HTF
2020-09-24 00:00,-1,1867.8935,1855.0215,1992.49,1894.7135,BLOCKED,,BLOCKED_COOLDOWN
2020-11-06 00:00,1,1951.15,1946.26,1932.025,1860.01,OK,OK,SIGNAL_FIRE
2020-11-24 00:00,-1,1809.2915,1835.68,1960.4215,1855.215,OK,BLOCKED,BLOCKED_HTF
2020-11-25 00:00,-1,1808.385,1809.2915,1960.4215,1831.018,BLOCKED,,BLOCKED_COOLDOWN
2020-11-30 00:00,-1,1778.8935,1786.7865,1960.4215,1800.275,BLOCKED,,BLOCKED_COOLDOWN
2020-12-18 18:00,1,1881.555,1883.7735,1870.5865,1764.5235,OK,OK,SIGNAL_FIRE
2021-01-04 12:00,1,1942.89,1913.305,1906.835,1818.9665,OK,OK,SIGNAL_FIRE
2021-01-05 00:00,1,1950.3315,1942.89,1915.0965,1818.9665,BLOCKED,,BLOCKED_COOLDOWN
2021-02-17 00:00,-1,1776.1335,1788.4985,1875.7075,1792.185,OK,OK,SIGNAL_FIRE
2021-02-18 00:00,-1,1771.7305,1776.1335,1875.7075,1786.953,BLOCKED,,BLOCKED_COOLDOWN
2021-02-28 23:00,-1,1739.33,1733.95,1864.175,1760.7405,OK,OK,SIGNAL_FIRE
2021-03-05 12:00,-1,1699.1505,1694.433,1855.4735,1702.007,BLOCKED,,BLOCKED_COOLDOWN
2021-04-16 12:00,1,1776.4,1763.9985,1758.7385,1677.9715,OK,BLOCKED,BLOCKED_HTF
2021-04-19 00:00,1,1772.205,1776.4,1769.6735,1677.9715,BLOCKED,,BLOCKED_COOLDOWN
2021-05-07 00:00,1,1831.265,1814.8215,1799.0765,1723.775,OK,OK,SIGNAL_FIRE
2021-05-09 22:00,1,1836.3435,1831.265,1818.1105,1723.775,BLOCKED,,BLOCKED_COOLDOWN
2021-05-18 12:00,1,1870.215,1847.1835,1846.0285,1756.2,OK,OK,SIGNAL_FIRE
2021-05-19 20:00,1,1866.0385,1870.215,1848.2,1756.2,BLOCKED,,BLOCKED_COOLDOWN
2021-05-27 00:00,1,1896.52,1898.812,1889.3965,1764.285,BLOCKED,,BLOCKED_COOLDOWN
2021-06-01 02:00,1,1911.6235,1907.73,1906.045,1770.39,OK,OK,SIGNAL_FIRE
2021-06-18 00:00,-1,1763.99,1776.0105,1915.4615,1851.63,OK,OK,SIGNAL_FIRE
2021-06-20 22:00,-1,1769.495,1763.99,1915.4615,1769.5735,BLOCKED,,BLOCKED_COOLDOWN
2021-07-15 00:00,1,1829.615,1826.455,1818.465,1750.7525,OK,OK,SIGNAL_FIRE
2021-08-08 22:00,-1,1719.2135,1763.7795,1834.1815,1789.7245,OK,OK,SIGNAL_FIRE
