d1_bar_time,c1,c2,range_hi,range_lo,accept_up,accept_dn,raw_dir,cooldown_ok,px200_shift0,ema200_shift1,htf_ok,event
2019.02.04,1317.30,1320.96,1323.26,1276.50,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.05,1311.70,1317.30,1326.20,1276.50,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.06,1314.81,1311.70,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.07,1306.04,1314.81,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.08,1309.74,1306.04,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.11,1313.69,1309.74,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.12,1307.79,1313.69,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.13,1310.32,1307.79,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.14,1305.73,1310.32,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.15,1312.04,1305.73,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.18,1320.87,1312.04,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.19,1326.18,1320.87,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.20,1340.74,1326.18,1326.20,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.21,1338.07,1340.74,1327.56,1276.66,1,0,1,1,1338.53,1264.61,1,FINAL_SIGNAL_FIRE
2019.02.22,1322.94,1338.07,1341.76,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
2019.02.25,1327.57,1322.94,1346.61,1276.66,0,0,0,1,0.00,0.00,1,NO_ACCEPTANCE
