signal_id,timestamp,generated_detail,terminal_stage
1,2019.06.05 17:30:00,Acceptance_above_range,OPENED
2,2019.06.21 05:30:00,Acceptance_above_range,OPENED
3,2019.08.07 17:00:00,Acceptance_above_range,OPENED
4,2020.01.06 01:45:00,Acceptance_above_range,OPENED
5,2020.02.21 18:00:00,Acceptance_above_range,OPENED
6,2020.04.14 12:30:00,Acceptance_above_range,OPENED
7,2020.06.24 16:15:00,Acceptance_above_range,OPENED
8,2020.07.09 18:15:00,Acceptance_above_range,BLOCKED
9,2020.07.23 17:00:00,Acceptance_above_range,OPENED
10,2020.08.06 11:15:00,Acceptance_above_range,BLOCKED
11,2020.11.09 14:15:00,Acceptance_above_range,OPENED
12,2020.12.21 12:00:00,Acceptance_above_range,OPENED
13,2021.01.06 14:45:00,Acceptance_above_range,OPENED
14,2021.02.19 17:00:00,Acceptance_below_range,OPENED
15,2021.03.02 18:00:00,Acceptance_below_range,OPENED
16,2021.05.10 17:00:00,Acceptance_above_range,OPENED
17,2021.05.19 13:30:00,Acceptance_above_range,OPENED
18,2021.05.27 16:15:00,Acceptance_above_range,BLOCKED
19,2021.06.18 15:30:00,Acceptance_below_range,OPENED
20,2021.08.11 18:00:00,Acceptance_below_range,OPENED
21,2021.09.30 17:30:00,Acceptance_below_range,OPENED
22,2021.11.10 16:30:00,Acceptance_above_range,OPENED
23,2022.02.15 16:45:00,Acceptance_above_range,OPENED
24,2022.03.09 01:00:00,Acceptance_above_range,BROKER_REJECT
25,2022.05.16 11:00:00,Acceptance_below_range,OPENED
26,2022.07.07 17:15:00,Acceptance_below_range,OPENED
27,2022.09.02 17:15:00,Acceptance_below_range,OPENED
28,2022.09.19 17:45:00,Acceptance_below_range,OPENED
29,2022.09.27 16:45:00,Acceptance_below_range,BLOCKED
30,2022.12.05 17:15:00,Acceptance_above_range,OPENED
31,2023.01.05 16:00:00,Acceptance_above_range,BLOCKED
32,2023.01.17 17:00:00,Acceptance_above_range,OPENED
33,2023.03.15 11:45:00,Acceptance_above_range,OPENED
34,2023.04.06 16:45:00,Acceptance_above_range,OPENED
35,2023.07.20 17:15:00,Acceptance_above_range,OPENED
36,2023.09.28 18:15:00,Acceptance_below_range,OPENED
37,2023.10.20 17:00:00,Acceptance_above_range,OPENED
38,2023.11.30 17:15:00,Acceptance_above_range,OPENED
39,2024.03.05 16:00:00,Acceptance_above_range,OPENED
40,2024.04.02 15:30:00,Acceptance_above_range,OPENED
41,2024.04.10 15:45:00,Acceptance_above_range,BLOCKED
42,2024.07.15 18:00:00,Acceptance_above_range,OPENED
43,2024.08.20 11:00:00,Acceptance_above_range,OPENED
44,2024.09.16 17:30:00,Acceptance_above_range,OPENED
45,2024.09.24 10:30:00,Acceptance_above_range,OPENED
46,2024.10.21 06:00:00,Acceptance_above_range,BLOCKED
47,2024.10.31 15:15:00,Acceptance_above_range,OPENED
48,2025.01.20 16:00:00,Acceptance_above_range,OPENED
49,2025.02.03 01:15:00,Acceptance_above_range,BLOCKED
50,2025.02.12 03:45:00,Acceptance_above_range,OPENED
51,2025.03.17 14:45:00,Acceptance_above_range,OPENED
52,2025.04.01 05:00:00,Acceptance_above_range,BLOCKED
53,2025.04.14 01:00:00,Acceptance_above_range,BROKER_REJECT
54,2025.04.23 01:00:00,Acceptance_above_range,BROKER_REJECT
55,2025.07.23 04:15:00,Acceptance_above_range,OPENED
56,2025.09.01 01:45:00,Acceptance_above_range,OPENED
57,2025.09.09 06:15:00,Acceptance_above_range,OPENED
58,2025.09.17 11:00:00,Acceptance_above_range,BLOCKED
59,2025.10.01 01:30:00,Acceptance_above_range,OPENED
60,2025.10.09 01:00:00,Acceptance_above_range,BLOCKED
61,2025.10.17 01:00:00,Acceptance_above_range,BROKER_REJECT
62,2025.12.15 01:00:00,Acceptance_above_range,BROKER_REJECT
63,2025.12.24 01:00:00,Acceptance_above_range,BROKER_REJECT
64,2026.01.14 01:00:00,Acceptance_above_range,BROKER_REJECT
65,2026.01.22 01:00:00,Acceptance_above_range,BROKER_REJECT
66,2026.01.30 01:00:00,Acceptance_above_range,BROKER_REJECT
67,2026.06.09 04:30:00,Acceptance_below_range,OPENED
