sweep_id,side,trigger_price,actual_fill,slippage_trigger_to_fill_pips,actual_SL,actual_TP,counterfactual_SL,counterfactual_TP,actual_outcome,counterfactual_outcome,actual_pnl_pips,counterfactual_pnl_pips,actual_pnl_usd,category,ambiguous_same_bar
1,LOW,4511.07,4516.63,55.600000000004,4508.57,4521.07,4514.13,4526.63,SL,SL,-80.600000000004,-25.0,-13.88,BOTH_LOSS,False
2,LOW,4504.91,4507.66,27.5,4502.41,4514.91,4505.16,4517.66,SL,SL,-52.5,-25.0,-9.03,BOTH_LOSS,False
4,HIGH,4504.49,4504.38,1.0999999999967258,4506.99,4494.49,4506.88,4494.38,SL,SL,-26.099999999996726,-25.0,-5.11,BOTH_LOSS,False
6,LOW,4457.42,4466.4,89.79999999999563,4454.92,4467.42,4463.9,4476.4,TP,SL,10.200000000004366,-25.0,1.76,WIN_LOST,False
8,HIGH,4457.19,4453.32,38.69999999999891,4459.69,4447.19,4455.82,4443.32,TP,SL,61.30000000000109,-25.0,10.66,WIN_LOST,False
9,HIGH,4474.57,4471.67,28.999999999996362,4477.07,4464.57,4474.17,4461.67,TP,TP,71.00000000000364,100.0,12.24,WIN_PRESERVED,False
11,LOW,4446.43,4447.12,6.899999999995998,4443.93,4456.43,4444.62,4457.12,SL,SL,-31.899999999995998,-25.0,-5.75,BOTH_LOSS,False
12,LOW,4406.87,4405.46,-14.099999999998545,4404.37,4416.87,4402.96,4415.46,SL,SL,-10.900000000001455,-25.0,-1.9,BOTH_LOSS,False
13,LOW,4318.4,4322.73,43.29999999999927,4315.9,4328.4,4320.23,4332.73,SL,SL,-68.29999999999927,-25.0,-12.02,BOTH_LOSS,False
14,HIGH,4351.26,4345.14,61.19999999999891,4353.76,4341.26,4347.64,4335.14,TP,TP,38.80000000000109,100.0,6.73,WIN_PRESERVED,False
15,LOW,4305.17,4307.64,24.700000000002547,4302.67,4315.17,4305.14,4317.64,TP,SL,75.29999999999745,-25.0,13.16,WIN_LOST,False
16,LOW,4288.41,4292.44,40.29999999999745,4285.91,4298.41,4289.94,4302.44,TP,TP,59.70000000000255,100.0,10.61,WIN_PRESERVED,False
17,HIGH,4325.11,4323.83,12.799999999997453,4327.61,4315.11,4326.33,4313.83,SL,SL,-37.79999999999745,-25.0,-6.59,BOTH_LOSS,False
19,HIGH,4348.38,4343.46,49.20000000000073,4350.88,4338.38,4345.96,4333.46,TP,SL,50.79999999999927,-25.0,8.94,WIN_LOST,False
22,LOW,4187.53,4189.06,15.300000000006548,4185.03,4197.53,4186.56,4199.06,SL,SL,-40.30000000000655,-25.0,-7.0,BOTH_LOSS,False
23,LOW,4166.99,4172.45,54.600000000000364,4164.49,4176.99,4169.95,4182.45,TP,SL,45.399999999999636,-25.0,8.31,WIN_LOST,False
24,LOW,4154.64,4161.06,64.20000000000073,4152.14,4164.64,4158.56,4171.06,TP,SL,35.79999999999927,-25.0,6.43,WIN_LOST,False
25,LOW,4125.52,4128.2,26.799999999993815,4123.02,4135.52,4125.7,4138.2,SL,SL,-51.799999999993815,-25.0,-9.06,BOTH_LOSS,False
