sweep_id,level_id,side,trigger_price,armed_time,reclaim_time,reclaim_delay_sec,max_pen,entry_attempts,opened,open_time,fill_price,slippage_pips,outcome,pnl,reclaim_to_open_delay_sec,abandoned
1,3,LOW,4511.07,2026-06-01T06:45:00,2026-06-01T07:00:02,902,54.7,1,True,2026-06-01T07:00:02,4516.63,55.600000000004,SL,-13.88,0.0,True
2,4,LOW,4504.91,2026-06-01T09:45:00,2026-06-01T10:15:00,1800,64.7,1,True,2026-06-01T10:15:00,4507.66,27.5,SL,-9.03,0.0,True
3,8,LOW,4484.7,2026-06-01T16:15:00,,,,0,False,,,,,,,True
4,10,HIGH,4504.49,2026-06-02T07:15:00,2026-06-02T07:30:00,900,75.3,1,True,2026-06-02T07:30:00,4504.38,1.0999999999967258,SL,-5.11,0.0,True
5,14,LOW,4508.48,2026-06-02T16:45:00,,,,0,False,,,,,,,True
6,22,LOW,4457.42,2026-06-03T09:00:00,2026-06-03T09:15:00,900,57.3,1,True,2026-06-03T09:15:00,4466.4,89.79999999999563,TP,1.76,0.0,True
7,26,LOW,4427.26,2026-06-03T16:45:00,2026-06-03T17:00:00,900,115.5,12,False,,,,,,,True
8,29,HIGH,4457.19,2026-06-04T03:00:00,2026-06-04T03:15:00,900,51.3,1,True,2026-06-04T03:15:00,4453.32,38.69999999999891,TP,10.66,0.0,True
9,31,HIGH,4474.57,2026-06-04T06:00:00,2026-06-04T06:15:00,900,93.1,1,True,2026-06-04T06:15:00,4471.67,28.999999999996362,TP,12.24,0.0,True
10,33,HIGH,4489.74,2026-06-04T14:30:00,,,,0,False,,,,,,,True
11,41,LOW,4446.43,2026-06-05T04:45:00,2026-06-05T05:00:00,900,40.4,1,True,2026-06-05T05:00:00,4447.12,6.899999999995998,SL,-5.75,0.0,True
12,45,LOW,4406.87,2026-06-05T16:00:00,2026-06-05T16:15:00,900,216.3,2,True,2026-06-05T16:30:00,4405.46,-14.099999999998545,SL,-1.9,900.0,True
13,48,LOW,4318.4,2026-06-05T21:45:00,2026-06-05T22:00:00,900,49.4,1,True,2026-06-05T22:00:00,4322.73,43.29999999999927,SL,-12.02,0.0,True
