level_id,level_price,direction,source,source_tf,created_at,touch_number,age_at_trigger_hours,trigger_time,trigger_price,penetration_at_trigger_pips,max_additional_penetration_after_trigger_pips,time_to_max_penetration_hours,time_to_first_reclaim_level_hours,time_to_reclaim_trigger_price_hours,time_to_reversal_0_25ATR_hours,time_to_reversal_0_5ATR_hours,time_to_reversal_1ATR_hours,atr_h4_at_trigger_pips,level_replaced_before_horizon,IMMEDIATE_FADE_available,IMMEDIATE_FADE_entry_price,IMMEDIATE_FADE_entry_delay_hours,IMMEDIATE_FADE_outcome,RECLAIM_LEVEL_available,RECLAIM_LEVEL_entry_price,RECLAIM_LEVEL_entry_delay_hours,RECLAIM_LEVEL_outcome,RECLAIM_TRIGGER_available,RECLAIM_TRIGGER_entry_price,RECLAIM_TRIGGER_entry_delay_hours,RECLAIM_TRIGGER_outcome,REACTION_CANDLE_available,REACTION_CANDLE_entry_price,REACTION_CANDLE_entry_delay_hours,REACTION_CANDLE_outcome,MICRO_STRUCTURE_SHIFT_available,MICRO_STRUCTURE_SHIFT_entry_price,MICRO_STRUCTURE_SHIFT_entry_delay_hours,MICRO_STRUCTURE_SHIFT_outcome,LIMIT_RETEST_available,LIMIT_RETEST_entry_price,LIMIT_RETEST_entry_delay_hours,LIMIT_RETEST_outcome,IMMEDIATE_FADE_MFE_4h,IMMEDIATE_FADE_MAE_4h,RECLAIM_LEVEL_MFE_4h,RECLAIM_LEVEL_MAE_4h,RECLAIM_TRIGGER_MFE_4h,RECLAIM_TRIGGER_MAE_4h,REACTION_CANDLE_MFE_4h,REACTION_CANDLE_MAE_4h,MICRO_STRUCTURE_SHIFT_MFE_4h,MICRO_STRUCTURE_SHIFT_MAE_4h,LIMIT_RETEST_MFE_4h,LIMIT_RETEST_MAE_4h
16,1824.9,SELL,WICK_H4,H4,2023-10-04 04:00:00,1,11.25,2023-10-04 15:15:00,1828.4,35.0,20.4,0.0,,0.0,0.0,,,78.0,True,True,1828.4,0.0,TP,False,,,NO_ENTRY,True,1828.4,0.0,TP,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,114.5,20.4,,,114.5,20.4,,,,,,
22,1823.54,SELL,WICK_H4,H4,2023-10-05 00:00:00,2,4.0,2023-10-05 04:00:00,1827.04,35.0,20.0,3.0,,0.0,,,,73.88,True,True,1827.04,0.0,TP,False,,,NO_ENTRY,True,1827.04,0.0,TP,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,15.6,20.0,,,15.6,20.0,,,,,,
33,1824.98,SELL,WICK_H4,H4,2023-10-06 16:00:00,2,1.25,2023-10-06 17:15:00,1828.48,35.0,62.5,1.5,0.5,0.25,0.0,0.0,,83.71,True,True,1828.48,0.0,SL,True,1824.98,0.5,SL,True,1828.48,0.25,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,59.0,62.5,24.0,97.5,59.0,62.5,,,,,,
36,1833.85,SELL,WICK_H4,H4,2023-10-07 00:00:00,1,49.25,2023-10-09 01:15:00,1837.35,35.0,150.0,2.5,,,,,,92.36,True,True,1837.35,0.0,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,-79.8,153.0,,,,,,,,,,
44,1853.07,SELL,WICK_H4,H4,2023-10-09 20:00:00,1,1.75,2023-10-09 21:45:00,1856.57,35.0,68.0,0.75,,,,,,90.74,True,True,1856.57,0.0,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,20.9,68.0,,,,,,,,,,
46,1863.37,SELL,WICK_H4,H4,2023-10-10 00:00:00,3,34.5,2023-10-11 10:30:00,1866.87,35.0,77.8,3.0,,0.0,0.0,,,76.01,True,True,1866.87,0.0,SL,False,,,NO_ENTRY,True,1866.87,0.0,SL,False,,,NO_ENTRY,True,1870.6,4.75,SL,False,,,NO_ENTRY,34.6,77.8,,,34.6,77.8,,,42.7,64.9,,
52,1877.09,SELL,WICK_H4,H4,2023-10-11 20:00:00,3,13.5,2023-10-12 09:30:00,1880.59,35.0,19.1,0.0,,1.25,1.25,,,68.18,True,True,1880.59,0.0,SL,False,,,NO_ENTRY,True,1880.59,1.25,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,20.8,20.2,,,20.8,37.6,,,,,,
56,1884.85,SELL,WICK_H4,H4,2023-10-12 16:00:00,1,21.0,2023-10-13 13:00:00,1888.35,35.0,306.6,2.5,,0.0,,,,89.84,True,True,1888.35,0.0,SL,False,,,NO_ENTRY,True,1888.35,0.0,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,18.2,306.6,,,18.2,306.6,,,,,,
58,1919.01,SELL,WICK_H4,H4,2023-10-13 16:00:00,1,2.75,2023-10-13 18:45:00,1922.51,35.0,100.2,5.0,59.25,54.25,58.25,,,99.08,True,True,1922.51,0.0,SL,True,1919.01,59.25,TP,True,1922.51,54.25,SL,True,1921.54,57.25,TP,True,1922.06,54.25,SL,True,1919.01,59.5,TP,15.5,81.0,109.8,13.3,28.1,55.7,36.3,18.3,23.6,60.2,109.8,12.7
69,1921.24,SELL,WICK_H4,H4,2023-10-17 12:00:00,1,1.0,2023-10-17 13:00:00,1924.74,35.0,41.8,2.25,,0.25,0.0,2.5,,89.22,True,True,1924.74,0.0,SL,False,,,NO_ENTRY,True,1924.74,0.25,SL,False,,,NO_ENTRY,False,,,NO_ENTRY,False,,,NO_ENTRY,58.7,67.1,,,58.7,67.1,,,,,,
